################## FYI, April 2015 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
78.725 109.156 1.835 0.062 0.837 0.000
66.634 302.386 1.273 0.043 0.541 0.001
69.104 302.234 1.303 0.056 0.911 0.001
73.459 61.172 1.549 0.138 1.478 0.001
74.661 81.158 1.160 0.039 0.668 0.001
76.514 73.072 1.423 0.094 1.212 0.002
75.994 115.128 1.643 0.044 0.693 0.002
74.717 74.228 1.283 0.070 0.576 0.002
74.204 125.159 0.518 0.015 0.667 0.002
74.684 115.626 nan nan 0.756 0.004
67.111 300.480 1.239 0.030 1.291 0.004
66.874 191.529 1.714 0.091 1.065 0.004
64.488 192.006 0.809 0.031 0.989 0.005
72.048 61.991 1.232 0.124 1.358 0.005
79.816 65.973 1.639 0.105 1.238 0.005
77.801 108.768 1.511 0.051 0.631 0.005
79.610 66.477 1.547 0.105 1.423 0.006
79.122 88.229 1.798 0.062 1.067 0.006
75.673 130.553 1.386 0.038 0.848 0.007
74.724 82.823 1.159 0.042 0.726 0.007
77.147 122.164 1.456 0.055 0.896 0.008
80.507 30.500 2.111 0.143 0.679 0.008
77.551 79.095 1.319 0.063 1.116 0.008
78.486 67.681 1.684 0.098 0.811 0.009
74.003 285.890 1.526 0.088 1.066 0.009
82.395 46.193 1.819 0.078 1.327 0.009
76.034 134.349 1.210 0.023 0.730 0.011
70.816 209.120 nan nan 1.434 0.011
58.307 190.103 0.591 0.015 0.850 0.012
71.233 261.384 2.273 0.053 0.575 0.012
67.941 279.703 1.918 0.119 0.812 0.013
74.333 124.487 0.608 0.018 0.720 0.013
74.372 72.867 1.264 0.065 1.268 0.013
73.977 62.896 1.454 0.129 1.331 0.013
77.587 71.565 1.649 0.110 0.995 0.014
76.446 287.835 1.200 0.072 0.946 0.014
64.981 302.471 1.102 0.055 0.597 0.015
74.717 68.902 1.284 0.101 0.722 0.015
67.815 191.424 1.748 0.088 1.132 0.015
75.114 127.648 1.287 0.038 0.731 0.016
72.110 59.407 1.030 0.100 0.930 0.016
76.817 84.629 1.157 0.039 1.298 0.016
75.876 70.989 1.734 0.116 1.640 0.016
72.438 293.776 1.614 0.132 0.782 0.017
76.514 286.928 1.340 0.080 0.816 0.018
74.585 123.111 1.115 0.035 0.831 0.018
70.145 161.154 1.737 0.076 0.782 0.019
82.065 71.053 2.052 0.095 1.025 0.019
75.937 85.882 0.911 0.024 1.556 0.019
62.978 181.198 0.776 0.063 0.694 0.020
81.338 95.194 0.887 0.023 0.873 0.020
67.163 195.751 0.299 0.016 0.951 0.021
67.591 303.930 1.489 0.080 0.786 0.021
80.142 40.389 1.465 0.087 1.031 0.021
67.458 302.339 1.324 0.048 0.794 0.022
78.103 43.472 1.173 0.093 1.069 0.022
75.462 124.303 1.260 0.041 0.672 0.022
81.688 52.667 2.044 0.072 0.658 0.022
61.513 188.452 0.598 0.021 0.680 0.022
68.789 302.425 1.317 0.055 0.965 0.022
59.026 157.848 0.820 0.134 0.500 0.022
81.652 78.389 1.877 0.089 1.156 0.022
72.508 163.195 1.857 0.068 1.199 0.023
75.327 283.717 1.601 0.093 1.050 0.024
78.570 68.720 1.688 0.111 1.140 0.024
75.947 288.146 1.401 0.099 1.011 0.024
75.206 258.179 nan nan 0.941 0.025
66.680 301.154 1.188 0.031 0.872 0.025
74.304 342.084 1.122 0.045 0.996 0.025
70.749 304.526 1.766 0.145 0.939 0.026
77.863 38.246 1.074 0.090 1.060 0.026
71.541 62.030 1.099 0.109 0.786 0.026
70.483 195.719 2.203 0.063 1.032 0.027
77.851 80.972 1.342 0.061 1.076 0.027
81.694 79.902 1.870 0.084 1.099 0.027
71.632 61.082 1.022 0.103 0.701 0.027
79.504 59.876 2.429 0.101 1.253 0.027
65.930 301.977 1.181 0.033 0.756 0.028
70.720 198.012 1.910 0.053 1.161 0.028
74.558 75.256 1.260 0.063 0.762 0.029
70.559 261.682 2.330 0.054 1.038 0.029
62.580 186.392 0.501 0.018 1.170 0.029
68.204 279.219 1.925 0.118 0.781 0.029
73.315 121.228 0.451 0.015 0.770 0.029
74.382 272.060 nan nan 1.303 0.030
61.050 191.046 0.721 0.028 0.946 0.030
64.663 190.008 0.856 0.039 1.049 0.030
61.053 184.261 0.658 0.048 0.921 0.031
76.375 288.733 1.080 0.066 1.240 0.031
78.694 67.249 1.605 0.100 0.863 0.031
61.812 192.753 0.665 0.028 0.978 0.032
74.246 120.403 1.234 0.040 0.557 0.032
76.794 83.660 1.158 0.041 1.111 0.033
74.340 284.534 1.539 0.083 1.009 0.034
75.733 72.135 1.438 0.098 1.021 0.034
75.083 61.699 2.174 0.115 0.895 0.035
79.418 28.465 2.093 0.143 1.058 0.035
66.756 328.083 0.503 0.048 0.607 0.035
77.458 148.158 1.679 0.053 0.889 0.036
68.654 189.413 2.047 0.092 1.353 0.036
58.463 158.696 nan nan 0.422 0.036
81.194 36.724 1.711 0.092 1.195 0.037
74.985 281.646 1.395 0.060 1.209 0.037
79.925 64.290 1.946 0.103 1.102 0.037
75.919 84.971 0.940 0.027 1.008 0.037
65.419 301.866 1.173 0.038 0.660 0.037
78.694 30.379 1.334 0.104 1.179 0.038
75.254 239.335 2.131 0.034 1.127 0.038
81.538 96.843 1.615 0.042 1.174 0.038
75.983 75.630 1.321 0.074 0.928 0.039
62.683 191.217 0.694 0.021 1.083 0.039
62.503 182.121 0.620 0.049 0.726 0.039
68.558 293.199 nan nan 0.927 0.040
74.301 127.444 1.226 0.035 0.696 0.040
78.552 75.828 1.435 0.083 1.175 0.041
65.540 301.417 1.162 0.034 0.643 0.041
81.408 50.290 1.876 0.068 1.073 0.041
72.305 59.036 1.084 0.103 0.967 0.042
79.811 29.667 2.283 0.158 1.151 0.042
77.065 111.894 0.907 0.028 0.821 0.042
71.252 192.119 2.272 0.070 1.287 0.042
69.538 301.504 1.261 0.054 0.914 0.042
69.851 301.293 1.261 0.056 1.134 0.042
78.717 64.708 1.393 0.087 0.693 0.043
78.874 40.914 1.231 0.102 1.111 0.043
78.421 43.431 1.194 0.097 1.001 0.043
78.412 28.301 1.270 0.102 0.904 0.043
74.545 130.285 1.355 0.039 0.926 0.045
74.098 79.007 1.068 0.042 1.157 0.045
76.817 137.759 1.023 0.017 0.941 0.045
78.434 78.254 1.406 0.073 1.406 0.046
76.855 74.659 1.382 0.084 1.751 0.047
63.215 192.922 0.804 0.030 1.108 0.047
63.725 186.667 0.318 0.006 1.109 0.048
82.232 65.283 2.362 0.084 1.145 0.049
78.988 67.874 1.545 0.111 1.543 0.049
74.558 284.744 1.567 0.091 0.866 0.049
63.314 191.976 0.787 0.031 0.876 0.049
74.320 281.149 1.404 0.052 0.951 0.050
78.619 63.687 1.311 0.079 0.796 0.050
78.073 80.803 1.368 0.064 1.167 0.050
76.198 117.607 1.530 0.049 0.767 0.050
74.585 69.981 1.267 0.090 0.869 0.050
63.433 181.706 0.676 0.044 0.745 0.050
78.360 69.121 1.743 0.112 0.934 0.050
75.818 76.734 1.284 0.065 0.701 0.050
78.060 75.311 1.379 0.081 1.059 0.051
69.393 294.185 1.133 0.022 0.973 0.051
79.639 74.310 1.564 0.095 0.923 0.051
62.488 193.065 0.662 0.027 1.189 0.051
81.263 49.160 2.277 0.079 1.005 0.051
60.881 158.323 0.659 0.059 0.581 0.052
74.369 114.171 0.670 0.019 0.520 0.052
