################## FYI, April 2017 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
71.646 183.160 1.656 0.045 1.158 0.000
78.162 84.019 1.307 0.059 1.047 0.001
71.563 201.088 1.846 0.048 1.041 0.001
76.817 354.629 1.604 0.055 0.828 0.001
70.551 58.241 0.742 0.019 0.704 0.001
78.447 88.332 1.421 0.053 0.949 0.001
74.437 126.787 1.231 0.044 0.723 0.002
76.143 148.241 0.974 0.021 0.767 0.002
76.100 116.358 1.068 0.027 0.729 0.002
76.763 121.130 1.344 0.047 0.822 0.002
70.373 303.781 1.457 0.159 0.960 0.002
79.437 109.204 1.524 0.057 0.883 0.003
73.315 301.228 1.557 0.157 1.025 0.003
76.023 122.542 1.319 0.048 0.622 0.003
75.282 118.715 1.126 0.035 0.622 0.004
74.019 71.565 0.951 0.041 1.043 0.004
80.142 98.499 nan nan 1.071 0.004
72.354 180.365 1.590 0.049 0.982 0.005
69.104 302.234 1.271 0.091 1.074 0.005
68.901 296.975 1.346 0.042 0.925 0.005
73.626 59.036 1.196 0.089 1.047 0.005
79.403 66.961 1.289 0.094 0.947 0.006
78.222 88.363 1.395 0.051 1.099 0.006
74.340 75.466 1.011 0.041 0.811 0.006
68.472 299.113 1.315 0.048 0.877 0.006
73.004 301.483 1.626 0.167 0.861 0.006
80.727 78.147 1.645 0.100 1.021 0.006
78.552 75.828 1.292 0.084 1.252 0.006
78.703 49.830 0.901 0.053 1.014 0.007
73.263 154.983 1.501 0.027 0.829 0.007
76.034 188.781 1.939 0.084 1.186 0.007
77.871 107.765 1.330 0.047 1.002 0.007
74.777 75.041 1.030 0.044 0.779 0.008
74.985 154.776 1.511 0.039 0.732 0.008
74.146 124.028 0.505 0.019 0.676 0.008
78.416 64.179 1.225 0.091 0.827 0.008
58.275 162.732 nan nan 0.594 0.008
61.911 191.853 0.767 0.015 0.921 0.009
77.989 92.675 1.466 0.043 1.111 0.009
60.094 191.140 0.834 0.015 1.261 0.009
71.233 298.254 1.419 0.115 0.922 0.010
74.887 115.994 nan nan 0.589 0.010
77.018 77.525 1.169 0.057 1.184 0.010
78.386 83.904 1.349 0.064 1.032 0.010
74.281 74.673 0.979 0.040 1.041 0.010
67.458 302.339 1.215 0.065 1.091 0.011
75.521 122.335 1.272 0.046 0.623 0.011
76.649 90.481 1.112 0.033 0.915 0.011
66.649 191.418 1.360 0.049 0.964 0.011
82.699 57.529 1.564 0.080 0.955 0.012
79.394 35.538 1.234 0.158 0.982 0.012
72.508 163.195 1.714 0.041 1.023 0.013
70.859 229.289 1.922 0.062 1.039 0.013
77.014 109.687 1.073 0.027 0.761 0.013
72.085 161.338 1.732 0.035 0.733 0.013
70.877 303.970 1.466 0.152 1.067 0.013
66.576 303.614 1.089 0.077 0.844 0.013
78.915 61.621 1.187 0.081 1.004 0.014
