################## FYI, April 2017 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
76.875 142.640 1.159 0.028 0.919 0.014
71.940 162.242 1.791 0.039 0.707 0.014
74.757 112.977 nan nan 0.779 0.014
74.050 60.005 nan nan 1.022 0.015
76.143 121.759 1.306 0.046 0.721 0.015
73.920 68.273 0.928 0.050 0.934 0.015
72.279 158.806 1.512 0.025 0.693 0.015
72.578 181.109 1.759 0.058 1.404 0.016
78.694 120.379 1.496 0.056 0.856 0.016
65.103 302.033 1.064 0.039 0.456 0.016
72.802 161.328 1.638 0.035 1.037 0.016
61.224 185.643 0.620 0.016 0.984 0.017
75.743 91.353 nan nan 0.520 0.018
74.545 130.285 1.665 0.061 0.640 0.018
77.298 29.055 0.915 0.055 1.031 0.018
76.346 133.002 2.133 0.060 0.835 0.018
60.714 186.438 0.709 0.016 0.891 0.018
77.612 116.333 1.308 0.043 1.076 0.018
69.165 194.712 0.802 0.032 0.988 0.018
73.832 78.378 0.919 0.031 0.660 0.018
73.154 289.885 1.644 0.114 0.737 0.018
72.631 77.672 nan nan 0.433 0.019
81.562 95.332 1.138 0.045 1.084 0.019
82.775 71.003 1.525 0.077 1.289 0.020
70.936 235.091 1.625 0.055 1.491 0.020
75.694 281.310 1.112 0.039 1.036 0.020
71.318 194.287 1.750 0.072 1.391 0.021
72.639 303.381 1.344 0.132 1.242 0.021
75.708 133.091 2.252 0.063 0.671 0.021
75.285 114.806 0.815 0.019 0.615 0.021
62.500 190.663 0.822 0.018 0.904 0.021
73.166 152.580 1.490 0.028 0.695 0.021
70.702 164.100 1.778 0.049 1.137 0.021
62.324 186.806 0.471 0.008 0.832 0.022
75.897 115.953 1.030 0.025 0.750 0.023
82.174 80.942 1.515 0.075 1.227 0.023
67.449 186.024 1.073 0.040 1.164 0.023
69.731 301.837 1.320 0.102 0.715 0.023
74.834 128.991 1.574 0.054 0.747 0.024
75.199 83.468 1.166 0.033 1.014 0.024
81.706 73.523 1.555 0.089 1.131 0.025
76.944 139.879 nan nan 0.874 0.025
61.971 188.588 0.603 0.010 0.916 0.025
72.563 267.414 nan nan 1.148 0.025
73.468 154.654 1.531 0.030 0.717 0.025
77.657 107.447 1.188 0.040 0.793 0.026
76.180 150.313 1.051 0.025 0.757 0.026
70.083 180.324 1.571 0.045 0.972 0.026
77.310 45.716 0.868 0.074 0.927 0.026
75.648 124.808 1.351 0.050 0.806 0.027
67.143 302.515 1.213 0.066 0.848 0.027
73.798 277.568 nan nan 0.810 0.027
76.559 142.461 0.930 0.021 0.673 0.027
66.517 299.643 0.991 0.022 0.767 0.027
73.564 77.769 0.707 0.026 0.523 0.028
74.774 123.573 1.053 0.040 0.672 0.029
65.053 180.778 nan nan 0.991 0.030
69.800 298.993 1.385 0.079 0.958 0.030
67.966 302.471 1.199 0.068 1.007 0.030
78.874 40.914 1.054 0.086 0.857 0.030
72.085 288.662 1.498 0.063 1.001 0.031
67.699 185.509 nan nan 1.039 0.031
73.965 61.101 1.143 0.098 0.931 0.031
75.493 117.160 1.050 0.029 0.743 0.032
73.657 66.077 0.964 0.061 0.919 0.033
78.838 33.530 1.157 0.142 1.123 0.033
75.368 73.511 1.053 0.055 1.263 0.033
61.055 188.320 0.692 0.016 0.917 0.033
72.645 155.924 1.364 0.021 0.747 0.034
70.197 299.624 1.385 0.095 0.793 0.034
72.351 181.095 1.651 0.051 1.113 0.034
63.567 189.100 0.874 0.011 1.021 0.034
79.935 71.162 1.423 0.102 1.298 0.034
75.818 76.734 1.110 0.048 0.941 0.035
71.176 58.684 0.807 0.027 0.777 0.036
67.651 302.648 1.208 0.070 1.054 0.036
78.308 65.647 1.277 0.100 0.792 0.037
74.754 126.617 1.295 0.046 0.661 0.037
69.490 299.238 1.371 0.073 0.856 0.037
74.369 114.171 0.404 0.010 0.627 0.038
74.618 127.288 1.319 0.046 0.650 0.038
76.401 79.061 1.144 0.048 0.860 0.038
79.145 73.811 1.373 0.097 1.310 0.039
65.608 189.854 0.974 0.026 0.866 0.039
73.151 60.871 0.980 0.074 0.895 0.040
70.016 62.136 0.781 0.037 0.655 0.040
71.856 196.189 1.912 0.068 1.436 0.040
70.864 58.459 0.812 0.023 1.025 0.041
75.399 123.079 1.282 0.048 0.770 0.041
75.937 85.882 1.069 0.035 1.088 0.041
74.178 80.605 0.996 0.028 0.944 0.041
74.624 80.331 0.957 0.025 0.800 0.042
74.121 75.669 1.001 0.039 0.963 0.042
81.604 76.891 1.576 0.089 1.095 0.042
72.441 162.493 1.713 0.039 0.875 0.042
74.717 74.228 1.009 0.045 0.987 0.042
75.711 122.816 1.301 0.048 0.694 0.042
71.098 165.881 2.038 0.059 0.884 0.043
61.513 188.452 0.648 0.013 1.233 0.043
75.648 77.811 1.101 0.043 0.966 0.044
80.475 90.674 1.220 0.039 0.828 0.044
71.856 163.811 1.806 0.045 0.811 0.044
74.437 81.285 1.011 0.027 1.105 0.044
72.885 57.875 0.900 0.060 0.847 0.044
75.865 286.133 1.285 0.075 1.096 0.044
68.422 184.490 1.478 0.055 1.150 0.045
76.401 146.441 1.022 0.023 0.821 0.045
77.851 99.028 1.663 0.047 0.605 0.046
75.676 119.578 1.188 0.039 0.681 0.046
78.299 71.565 1.249 0.093 1.174 0.047
79.149 109.933 1.518 0.058 0.941 0.047
75.490 115.178 0.979 0.023 0.714 0.048
72.450 57.022 0.928 0.050 1.183 0.048
81.373 90.744 1.420 0.053 1.101 0.048
72.196 68.131 0.922 0.032 0.500 0.048
79.361 69.656 1.307 0.099 1.127 0.049
77.442 72.860 1.192 0.080 1.097 0.049
73.166 297.420 1.617 0.174 0.924 0.049
72.320 157.184 1.339 0.019 0.711 0.050
61.698 291.334 1.131 0.063 0.583 0.050
70.835 63.886 0.912 0.044 0.853 0.050
75.994 115.128 1.027 0.023 0.729 0.050
73.242 293.299 1.618 0.152 1.079 0.050
69.047 303.605 1.240 0.113 0.879 0.050
61.175 186.539 0.650 0.016 0.734 0.050
77.938 69.880 1.287 0.099 1.059 0.051
77.438 97.696 1.463 0.040 1.385 0.051
76.454 148.548 1.071 0.026 1.040 0.051
66.379 191.846 1.103 0.036 0.635 0.051
74.657 128.463 1.452 0.053 0.674 0.052
73.820 58.627 nan nan 0.725 0.052
77.077 86.517 1.135 0.040 0.971 0.052
73.567 74.539 nan nan 0.880 0.052
72.572 181.848 1.811 0.059 1.219 0.052
75.070 80.042 0.977 0.026 1.082 0.052
78.610 61.164 1.165 0.081 1.191 0.052
75.641 121.578 1.271 0.045 0.707 0.052
74.252 66.909 0.965 0.065 1.029 0.053
75.708 74.982 1.084 0.052 1.000 0.053
78.739 43.386 0.978 0.069 1.127 0.053
72.048 185.389 1.728 0.058 1.495 0.053
74.519 124.958 0.746 0.028 0.641 0.053
65.806 299.314 0.751 0.014 1.183 0.054
77.466 83.320 1.193 0.050 0.975 0.054
72.731 59.931 0.885 0.060 0.914 0.054
74.995 74.820 1.044 0.046 0.785 0.054
71.014 60.550 0.781 0.034 0.806 0.054
78.226 109.470 1.446 0.054 1.220 0.054
70.202 163.831 1.563 0.044 1.258 0.054
71.323 299.189 1.417 0.124 0.778 0.055
77.357 111.329 1.016 0.033 0.943 0.055
78.797 108.072 1.539 0.053 0.947 0.055
81.700 68.629 1.819 0.089 1.035 0.055
71.138 64.199 0.949 0.045 0.945 0.055
70.308 60.945 0.660 0.028 0.783 0.056
73.349 60.495 1.030 0.080 0.985 0.056
79.323 63.166 1.278 0.082 1.030 0.056
71.934 159.986 1.593 0.028 0.764 0.056
79.707 54.752 0.918 0.036 1.062 0.056
75.424 83.367 1.166 0.035 0.925 0.056
73.977 152.896 1.874 0.046 0.870 0.057
68.522 301.273 1.268 0.067 0.879 0.057
76.771 129.495 1.679 0.059 0.810 0.057
75.368 119.908 1.193 0.040 0.681 0.057
79.043 76.390 1.349 0.089 1.199 0.057
74.884 117.897 1.018 0.031 0.652 0.058
79.140 78.690 1.394 0.086 1.049 0.058
81.126 46.023 1.856 0.107 1.135 0.058
67.388 305.670 2.055 0.173 0.805 0.059
76.224 69.499 1.341 0.094 0.748 0.059
67.651 304.732 1.481 0.127 0.989 0.059
70.081 270.971 1.662 0.109 1.370 0.059
72.136 195.698 1.908 0.070 1.772 0.059
70.901 232.658 1.555 0.052 0.654 0.059
77.187 119.932 1.339 0.046 0.812 0.060
78.408 48.136 0.876 0.057 1.084 0.060
76.331 131.673 2.064 0.062 0.948 0.060
70.572 197.176 1.236 0.037 0.743 0.060
76.702 117.646 1.211 0.037 0.674 0.060
75.947 71.854 1.164 0.077 1.024 0.060
75.158 282.670 1.247 0.050 1.069 0.061
76.886 79.651 1.153 0.050 0.885 0.061
68.731 56.226 nan nan 0.629 0.061
76.638 87.594 1.109 0.036 1.312 0.061
70.122 62.710 0.730 0.038 0.502 0.062
78.077 121.149 1.422 0.052 0.979 0.062
66.068 303.465 0.964 0.058 0.784 0.063
82.409 68.356 1.740 0.081 1.275 0.063
75.019 287.892 1.393 0.095 1.123 0.063
81.822 66.595 2.060 0.086 1.117 0.063
78.218 286.020 1.577 0.070 0.715 0.063
79.080 54.189 0.995 0.052 1.002 0.064
74.928 291.405 1.425 0.123 0.964 0.064
76.902 146.174 1.180 0.030 0.944 0.064
75.843 277.745 nan nan 1.262 0.065
75.210 122.605 1.255 0.047 0.821 0.066
76.331 125.647 1.440 0.054 0.926 0.066
72.360 159.487 1.586 0.028 0.732 0.066
78.865 286.976 1.354 0.056 0.997 0.066
74.424 68.429 0.943 0.057 0.948 0.066
70.324 62.409 0.770 0.039 0.911 0.066
76.198 297.607 nan nan 1.021 0.066
60.945 186.488 0.682 0.017 0.991 0.067
76.147 125.106 1.408 0.053 0.885 0.067
76.198 126.404 1.473 0.055 0.741 0.067
74.304 72.084 0.960 0.044 0.863 0.067
72.147 159.740 1.604 0.028 0.751 0.067
65.193 189.162 nan nan 0.934 0.068
68.986 51.963 nan nan 0.533 0.068
72.754 298.402 1.580 0.166 0.843 0.068
62.354 279.655 1.436 0.055 0.211 0.068
76.442 79.992 1.149 0.046 1.247 0.068
80.281 69.057 1.501 0.098 1.255 0.068
76.290 118.872 1.202 0.037 0.839 0.069
77.514 109.411 1.245 0.039 0.843 0.069
76.454 121.452 1.325 0.047 0.791 0.069
68.615 280.008 1.569 0.090 1.599 0.069
76.257 283.696 1.225 0.058 1.064 0.070
77.006 117.229 1.236 0.037 0.705 0.070
76.147 144.894 0.940 0.017 0.733 0.070
78.103 133.472 1.716 0.057 0.941 0.070
77.984 67.504 1.317 0.104 0.855 0.070
76.649 89.519 1.107 0.034 1.389 0.071
78.304 29.268 0.996 0.077 0.967 0.071
77.624 75.838 1.205 0.071 1.416 0.071
72.450 302.978 1.778 0.173 1.144 0.071
77.587 108.435 1.268 0.041 0.904 0.072
69.868 303.601 1.418 0.149 1.118 0.072
79.480 104.184 1.214 0.037 1.220 0.072
75.588 123.566 1.315 0.049 0.745 0.072
72.962 154.618 1.436 0.023 0.743 0.072
76.875 90.490 1.133 0.034 1.209 0.072
79.122 63.699 1.228 0.086 1.237 0.073
76.763 148.870 1.146 0.030 0.771 0.073
73.657 72.810 nan nan 1.221 0.073
77.147 122.164 1.386 0.050 1.190 0.073
74.082 69.775 0.933 0.046 1.001 0.073
69.983 164.010 nan nan 0.950 0.074
75.378 282.863 1.232 0.051 1.073 0.074
78.317 63.189 1.200 0.090 0.829 0.075
77.088 140.641 1.385 0.035 0.890 0.075
73.735 76.827 0.780 0.030 0.620 0.075
72.587 288.435 1.547 0.077 1.030 0.076
75.598 76.938 1.097 0.045 0.974 0.076
61.050 191.046 0.745 0.015 1.115 0.076
80.694 87.930 1.381 0.053 1.066 0.076
73.370 153.954 1.552 0.030 0.748 0.076
67.843 46.648 nan nan 0.485 0.077
74.499 74.454 0.992 0.042 0.940 0.077
69.207 296.704 1.323 0.046 0.885 0.077
76.346 83.868 1.122 0.040 1.044 0.077
76.960 81.591 1.145 0.047 1.026 0.077
72.380 301.967 1.607 0.159 1.097 0.078
73.955 76.645 0.990 0.038 0.646 0.078
80.528 117.474 1.603 0.066 1.030 0.078
74.575 155.487 1.555 0.039 0.938 0.078
80.797 42.039 1.445 0.109 1.050 0.078
72.136 303.190 1.583 0.154 0.901 0.079
75.083 118.301 1.094 0.034 0.728 0.079
78.399 34.765 1.041 0.106 1.158 0.079
81.508 53.584 1.696 0.087 1.354 0.079
73.747 113.199 nan nan 0.591 0.080
69.365 67.212 nan nan 0.750 0.080
78.797 288.072 1.191 0.050 1.050 0.080
69.620 178.418 nan nan 1.111 0.080
77.788 135.000 1.757 0.056 1.244 0.081
81.211 72.951 1.571 0.097 1.034 0.081
75.588 151.639 1.042 0.025 0.756 0.081
66.767 303.921 1.215 0.100 0.825 0.082
74.480 115.267 nan nan 0.637 0.083
70.303 234.767 1.201 0.045 1.141 0.083
61.454 185.688 0.582 0.014 0.989 0.084
63.676 190.635 0.866 0.023 0.841 0.084
71.370 58.325 0.811 0.028 0.913 0.084
71.236 64.817 0.963 0.043 0.916 0.084
74.470 61.026 0.679 0.058 1.006 0.085
76.979 112.810 nan nan 0.910 0.085
74.864 130.186 1.756 0.059 0.666 0.085
69.851 278.673 nan nan 0.863 0.085
74.044 67.225 0.943 0.058 1.133 0.085
78.330 81.714 1.310 0.067 1.143 0.086
74.750 120.530 1.187 0.045 0.575 0.086
70.824 65.389 0.924 0.036 0.675 0.087
74.022 128.723 1.304 0.053 1.358 0.089
75.733 72.135 1.098 0.068 1.158 0.089
74.578 61.756 1.371 0.108 0.921 0.089
72.354 164.105 1.746 0.044 1.142 0.090
69.508 297.832 1.374 0.061 1.266 0.090
78.874 49.086 0.900 0.049 1.066 0.090
73.499 68.850 0.922 0.043 1.028 0.090
69.306 307.930 nan nan 1.038 0.090
70.081 269.029 1.688 0.109 0.585 0.091
77.266 148.690 1.284 0.036 1.180 0.091
68.857 56.733 nan nan 2.859 0.091
77.649 110.739 1.261 0.042 1.090 0.091
76.577 73.989 1.132 0.066 1.284 0.091
81.385 77.229 1.605 0.093 1.303 0.091
62.265 187.734 0.566 0.008 0.923 0.091
78.226 70.530 1.246 0.095 1.223 0.092
82.040 50.711 1.485 0.085 1.101 0.092
69.343 301.178 1.324 0.086 0.938 0.092
62.782 186.918 0.396 0.004 0.773 0.093
72.490 158.540 1.517 0.026 0.795 0.093
69.807 65.292 0.770 0.038 0.667 0.093
72.552 65.251 0.996 0.055 0.807 0.094
76.695 126.773 1.489 0.056 0.874 0.094
76.695 284.153 1.280 0.064 1.009 0.094
73.389 302.293 1.581 0.153 1.509 0.095
79.309 119.521 1.556 0.061 1.047 0.095
65.559 303.323 0.863 0.050 0.877 0.095
76.353 135.666 1.953 0.049 1.129 0.096
77.310 135.716 1.783 0.052 1.234 0.096
70.171 234.236 1.193 0.046 0.690 0.096
71.830 190.337 1.712 0.071 1.218 0.096
75.758 149.191 nan nan 0.727 0.096
79.816 65.973 1.377 0.091 1.079 0.096
79.219 44.157 1.067 0.068 0.866 0.096
78.743 45.000 0.929 0.060 0.967 0.097
72.852 285.584 1.306 0.051 1.509 0.097
73.920 272.802 nan nan 0.985 0.098
74.178 154.344 1.659 0.039 0.836 0.098
72.825 67.294 0.976 0.044 0.894 0.098
73.766 81.646 nan nan 0.555 0.098
72.073 286.390 0.841 0.031 1.000 0.098
72.572 159.228 1.566 0.028 0.777 0.098
67.665 195.509 nan nan 1.222 0.098
75.588 70.436 1.173 0.080 1.024 0.100
77.551 90.516 1.291 0.041 1.368 0.100
74.985 115.224 nan nan 0.701 0.100
77.003 115.017 1.192 0.032 0.778 0.100
77.466 133.550 1.782 0.057 1.117 0.100
81.491 69.179 1.748 0.091 0.993 0.100
73.851 275.988 nan nan 0.977 0.100
81.443 46.061 1.704 0.103 1.198 0.101
74.690 129.644 1.632 0.057 0.697 0.101
79.845 42.316 1.347 0.097 0.941 0.101
78.278 68.097 1.295 0.103 0.952 0.101
78.077 58.851 1.074 0.080 1.068 0.101
81.443 43.939 1.552 0.104 1.605 0.102
74.369 155.829 1.557 0.038 0.947 0.102
78.938 70.463 1.269 0.098 1.126 0.102
61.504 191.221 0.710 0.014 0.767 0.102
65.462 22.437 nan nan 0.471 0.102
74.178 62.526 1.172 0.097 1.201 0.102
72.299 161.105 1.689 0.034 0.806 0.102
68.661 54.884 nan nan 5.214 0.103
75.973 89.542 nan nan 0.761 0.103
81.761 82.972 1.516 0.074 1.219 0.103
71.441 64.522 0.972 0.047 0.682 0.103
77.551 100.905 0.671 0.021 0.900 0.103
75.893 152.008 1.201 0.030 0.871 0.104
74.470 298.974 1.507 0.154 0.883 0.104
73.722 163.566 1.584 0.043 1.201 0.104
76.794 73.720 1.153 0.069 1.473 0.105
74.757 157.023 1.519 0.040 1.126 0.105
79.346 88.191 1.392 0.053 1.501 0.105
75.983 119.233 1.183 0.037 0.825 0.105
70.620 305.074 nan nan 0.717 0.105
76.683 119.805 1.287 0.043 0.775 0.105
66.798 300.677 1.201 0.037 0.985 0.106
78.103 136.528 1.727 0.055 0.996 0.106
76.335 122.255 1.329 0.048 0.875 0.106
72.581 179.630 1.670 0.056 1.152 0.107
75.991 130.452 1.984 0.061 1.199 0.107
77.061 85.525 1.126 0.041 0.908 0.107
73.389 78.690 0.682 0.026 0.762 0.107
78.938 109.537 1.522 0.056 1.029 0.107
79.043 48.318 0.907 0.048 1.053 0.107
75.893 117.992 1.120 0.032 0.864 0.108
63.215 192.922 0.973 0.022 1.130 0.108
69.003 296.428 1.291 0.039 0.868 0.109
75.490 64.822 nan nan 1.095 0.109
78.988 67.874 1.224 0.096 1.026 0.109
71.718 60.124 0.809 0.040 0.852 0.109
82.238 45.000 1.431 0.102 0.972 0.109
79.294 287.676 1.049 0.046 0.922 0.109
79.224 71.188 1.319 0.099 1.059 0.109
81.432 48.180 1.946 0.112 1.364 0.110
74.887 76.686 1.055 0.040 1.425 0.110
79.403 113.039 1.505 0.061 1.061 0.110
78.213 55.856 1.050 0.077 1.011 0.111
71.138 295.801 1.444 0.093 1.084 0.111
77.959 57.938 1.067 0.079 1.189 0.111
65.116 190.189 1.119 0.026 0.822 0.112
76.480 80.929 1.165 0.045 1.282 0.112
68.910 301.908 1.273 0.082 0.965 0.112
77.147 147.836 1.258 0.035 0.947 0.112
68.084 297.224 1.575 0.041 0.878 0.112
75.797 116.768 1.054 0.027 0.692 0.112
69.538 301.504 1.323 0.094 0.942 0.112
68.930 182.144 nan nan 1.205 0.113
79.080 197.319 1.894 0.081 1.243 0.113
65.155 189.676 1.162 0.024 0.809 0.113
73.769 65.031 0.983 0.070 1.019 0.114
75.080 114.444 0.753 0.018 0.633 0.114
67.472 287.166 nan nan 0.909 0.114
79.796 51.242 0.924 0.035 0.841 0.114
78.073 80.803 1.260 0.064 1.076 0.116
70.787 59.381 0.621 0.022 0.947 0.116
77.813 116.801 1.345 0.046 0.956 0.116
73.206 158.412 1.548 0.031 1.107 0.116
69.106 195.309 0.800 0.030 1.153 0.116
61.635 186.643 0.579 0.013 1.050 0.116
73.545 60.110 1.077 0.085 0.895 0.116
81.332 75.784 1.594 0.095 1.317 0.117
76.089 123.818 1.365 0.051 0.856 0.117
74.372 70.263 0.944 0.049 1.011 0.117
81.730 81.431 1.543 0.078 1.313 0.117
76.646 148.046 1.113 0.028 1.053 0.117
77.859 68.886 1.216 0.096 0.907 0.118
78.892 47.454 0.905 0.052 1.136 0.119
73.845 128.224 1.063 0.042 0.672 0.119
75.189 117.536 1.053 0.030 0.693 0.119
76.879 120.292 1.326 0.045 0.920 0.119
73.058 155.304 1.471 0.025 0.913 0.119
74.340 292.335 1.577 0.147 0.983 0.119
77.454 137.899 1.688 0.048 0.895 0.120
78.517 62.684 1.185 0.088 1.182 0.120
72.645 60.945 0.913 0.062 1.403 0.120
74.294 69.492 0.932 0.050 1.063 0.120
67.725 194.950 0.465 0.018 1.402 0.121
74.003 74.110 0.941 0.038 0.728 0.121
75.786 118.791 1.152 0.035 0.838 0.121
81.865 51.710 1.575 0.086 1.165 0.121
74.684 62.496 1.368 0.107 1.007 0.121
75.330 121.866 1.256 0.046 0.833 0.121
69.785 162.170 nan nan 0.814 0.122
76.913 141.263 nan nan 0.802 0.122
74.246 59.597 nan nan 1.128 0.122
64.622 190.510 1.079 0.024 0.798 0.122
72.616 157.580 1.424 0.023 0.830 0.123
61.213 189.277 0.691 0.014 0.937 0.123
78.766 36.069 1.120 0.126 1.203 0.123
67.651 299.279 1.275 0.036 1.107 0.123
75.203 125.740 1.332 0.049 0.819 0.123
76.570 120.635 1.304 0.044 0.846 0.123
60.031 189.355 0.802 0.017 1.352 0.124
75.786 128.589 1.675 0.057 0.843 0.124
77.772 137.974 1.694 0.051 0.879 0.125
71.797 160.894 1.626 0.031 0.809 0.125
72.125 178.919 1.901 0.055 1.036 0.125
68.733 50.156 nan nan 0.754 0.126
75.431 74.358 1.061 0.052 0.940 0.126
79.057 83.530 1.471 0.077 1.003 0.126
77.132 75.358 1.170 0.066 1.146 0.126
79.196 120.556 1.555 0.060 0.921 0.126
71.233 188.616 1.606 0.068 1.371 0.126
71.940 61.361 0.881 0.049 1.014 0.126
71.646 176.840 2.177 0.063 1.231 0.126
77.026 123.003 1.389 0.051 1.057 0.127
73.358 294.316 1.615 0.162 0.955 0.127
77.813 79.931 1.228 0.062 1.108 0.128
80.312 41.248 1.386 0.115 1.210 0.129
63.996 197.963 nan nan 0.783 0.129
77.143 144.230 1.260 0.033 1.135 0.129
73.873 62.186 1.099 0.094 1.076 0.129
72.406 157.859 1.417 0.022 0.797 0.130
74.777 118.644 1.094 0.037 0.689 0.130
77.884 120.600 1.396 0.050 0.925 0.130
68.676 293.993 nan nan 0.967 0.130
75.662 288.719 1.179 0.079 1.001 0.130
68.289 333.834 nan nan 0.540 0.130
76.646 125.426 1.437 0.054 0.847 0.131
74.214 81.409 1.041 0.029 1.132 0.131
75.285 87.814 0.600 0.019 0.602 0.131
76.136 129.746 1.843 0.060 0.845 0.131
68.944 307.176 nan nan 1.139 0.132
79.441 37.235 1.221 0.141 1.069 0.132
71.030 168.024 2.150 0.065 1.181 0.132
79.191 49.205 0.914 0.044 0.954 0.132
69.091 294.495 1.150 0.028 1.631 0.133
72.552 155.251 1.311 0.019 0.792 0.133
84.107 75.700 1.521 0.077 1.175 0.133
75.490 154.822 1.417 0.038 1.030 0.133
75.090 116.372 0.983 0.026 0.677 0.133
79.489 68.085 1.310 0.097 1.068 0.133
75.114 127.648 1.465 0.051 0.695 0.134
76.375 120.155 1.266 0.042 0.985 0.134
72.737 293.394 1.573 0.138 0.936 0.134
76.401 123.559 1.373 0.051 0.964 0.134
71.951 62.956 0.963 0.058 1.232 0.134
79.057 46.660 0.935 0.053 0.937 0.134
74.934 286.004 1.405 0.082 0.901 0.134
76.461 145.125 1.038 0.023 0.840 0.134
75.330 80.754 1.010 0.028 0.549 0.134
72.354 179.635 1.534 0.049 1.229 0.135
70.417 298.479 1.398 0.092 0.868 0.135
61.363 190.244 0.683 0.013 1.147 0.135
71.291 162.872 1.712 0.041 0.819 0.135
78.579 31.350 1.081 0.113 0.846 0.135
76.420 128.290 1.633 0.058 0.871 0.135
74.985 281.646 1.191 0.042 1.016 0.135
73.977 62.896 1.080 0.092 0.952 0.135
77.313 87.466 1.192 0.042 1.119 0.135
76.798 114.605 1.135 0.029 0.830 0.135
71.098 59.621 0.779 0.030 0.809 0.136
79.698 104.490 1.356 0.043 1.009 0.136
67.676 186.085 1.266 0.048 1.355 0.136
71.444 297.031 1.444 0.116 0.945 0.136
78.583 35.407 1.083 0.118 1.139 0.137
71.098 300.379 1.386 0.125 0.851 0.137
81.473 80.166 1.593 0.086 1.401 0.137
74.098 275.268 nan nan 1.031 0.137
78.901 45.818 0.934 0.056 0.951 0.137
69.047 56.395 0.201 0.008 0.585 0.137
74.265 132.686 1.331 0.053 0.865 0.138
73.939 73.339 nan nan 0.834 0.138
68.709 181.515 nan nan 1.038 0.138
76.589 124.089 1.393 0.052 1.038 0.138
73.367 152.223 1.599 0.034 0.783 0.139
68.322 47.106 0.310 0.009 0.605 0.139
71.163 184.451 1.629 0.048 1.131 0.139
75.648 83.264 1.165 0.037 0.979 0.139
72.053 63.595 0.988 0.059 0.992 0.139
77.132 284.642 1.342 0.066 1.131 0.139
71.870 161.565 1.708 0.035 0.836 0.140
78.865 106.976 1.568 0.052 1.001 0.141
80.700 89.310 1.313 0.045 0.965 0.141
77.884 30.600 0.946 0.067 0.876 0.141
75.479 119.141 1.158 0.037 0.767 0.141
76.906 25.907 0.904 0.065 0.904 0.141
73.441 131.149 1.448 0.078 1.252 0.141
72.011 160.659 1.685 0.032 0.829 0.141
77.600 114.015 1.277 0.041 0.911 0.142
80.781 69.362 1.673 0.098 1.130 0.142
76.092 151.574 1.123 0.028 0.981 0.142
76.577 286.011 1.326 0.069 0.863 0.143
