################## FYI, April 2014 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
77.373 71.887 1.666 0.084 0.839 0.041
79.080 107.319 2.114 0.057 1.089 0.041
72.825 67.294 1.265 0.067 0.901 0.042
74.050 119.995 1.096 0.042 0.765 0.042
76.627 130.236 1.480 0.061 0.742 0.043
73.389 78.690 0.591 0.026 0.807 0.043
75.797 153.232 1.328 0.034 0.996 0.043
63.215 180.242 1.212 0.129 1.171 0.043
70.316 65.339 1.350 0.096 1.019 0.043
69.148 300.858 1.391 0.034 0.907 0.044
72.616 67.580 1.306 0.069 0.920 0.044
77.310 26.792 0.718 0.034 1.135 0.044
73.694 80.083 0.763 0.034 0.803 0.045
74.985 78.354 1.161 0.060 0.804 0.045
74.657 128.463 1.251 0.052 0.790 0.045
74.847 80.189 1.294 0.055 0.667 0.046
74.162 299.291 1.038 0.094 0.848 0.047
62.684 274.035 1.656 0.026 0.809 0.047
60.918 186.931 0.816 0.028 0.827 0.048
76.290 118.872 1.474 0.055 1.061 0.048
75.708 285.018 1.520 0.064 1.184 0.049
74.777 61.356 1.151 0.054 0.779 0.049
71.994 301.209 1.432 0.085 0.841 0.049
73.845 128.224 0.828 0.029 0.571 0.049
74.401 80.470 1.134 0.047 0.759 0.049
74.884 117.897 1.383 0.046 1.000 0.049
65.917 298.846 0.684 0.006 0.957 0.049
75.019 125.238 1.410 0.058 0.666 0.050
77.710 115.396 1.485 0.049 0.824 0.050
76.829 144.008 0.923 0.015 1.007 0.050
65.241 303.473 0.727 0.031 1.203 0.050
71.774 291.342 1.386 0.043 0.792 0.050
77.640 143.858 1.212 0.023 0.832 0.051
79.394 54.462 1.203 0.050 1.174 0.051
60.398 187.696 0.776 0.020 0.667 0.051
74.003 74.110 0.904 0.038 0.856 0.051
75.648 83.264 1.180 0.046 0.791 0.051
70.449 190.275 1.712 0.085 1.379 0.052
76.136 129.746 1.519 0.065 0.784 0.052
76.695 75.847 1.252 0.061 0.923 0.053
78.583 107.723 2.065 0.057 0.885 0.053
77.955 144.090 1.341 0.027 0.844 0.053
76.748 76.787 1.236 0.059 0.918 0.053
75.327 129.413 1.386 0.059 0.631 0.053
75.962 129.161 1.513 0.065 0.758 0.054
77.685 142.400 1.182 0.022 0.875 0.054
75.070 80.042 1.334 0.058 0.680 0.054
76.361 285.751 1.415 0.053 1.033 0.054
70.936 175.601 2.152 0.099 1.373 0.054
77.821 53.236 1.237 0.065 1.217 0.054
70.057 303.959 1.703 0.085 1.064 0.054
74.054 129.857 1.267 0.056 0.662 0.054
61.118 187.431 0.787 0.025 0.719 0.054
77.722 73.551 1.463 0.074 1.158 0.054
72.196 195.001 1.815 0.066 0.988 0.056
74.780 65.136 1.581 0.082 1.084 0.056
76.180 137.632 0.557 0.016 0.786 0.056
78.256 47.322 1.005 0.051 0.812 0.057
80.996 73.369 1.954 0.086 1.142 0.057
75.053 284.349 1.551 0.066 1.025 0.057
70.022 63.579 1.004 0.072 1.083 0.058
71.755 302.417 1.545 0.099 0.961 0.059
77.026 123.003 1.468 0.061 1.096 0.059
75.518 287.592 1.484 0.072 1.112 0.059
78.166 77.412 1.349 0.061 0.962 0.059
78.915 61.621 1.454 0.083 1.007 0.060
78.265 44.226 1.011 0.053 0.910 0.060
79.489 68.085 1.627 0.087 1.126 0.061
76.162 131.055 1.554 0.064 0.809 0.061
76.968 76.562 1.249 0.059 0.899 0.061
68.034 303.283 1.269 0.030 0.705 0.061
79.224 108.812 1.967 0.057 0.942 0.062
73.917 79.946 0.887 0.040 0.717 0.062
73.441 286.960 1.507 0.059 0.906 0.062
76.794 353.660 1.626 0.079 0.977 0.062
63.587 184.662 0.520 0.010 1.072 0.062
63.822 195.776 nan nan 1.280 0.062
77.863 141.754 1.229 0.024 0.844 0.063
66.246 301.804 1.191 0.019 0.828 0.063
69.378 192.291 1.728 0.074 1.183 0.063
