################## FYI, April 2016 values
### Lats,Lons,PIOMAS SIT,CS2U SIT,CS2C SIT
77.226 286.844 0.792 1.016 0.000
72.864 296.061 1.316 0.995 0.001
71.340 207.646 2.344 0.835 0.001
77.913 115.852 1.647 0.893 0.001
69.625 278.578 nan 0.644 0.001
72.357 206.075 2.022 1.173 0.002
74.657 141.537 nan 0.995 0.002
79.252 82.208 1.322 1.029 0.002
74.874 65.908 1.261 0.971 0.002
68.072 331.460 nan 1.369 0.003
71.014 60.550 0.797 0.808 0.003
77.997 88.394 1.236 0.782 0.003
70.784 261.585 2.077 0.982 0.003
69.385 194.871 1.285 0.715 0.003
70.488 260.375 2.081 1.030 0.004
72.843 60.581 0.972 0.901 0.004
80.678 76.799 1.340 1.025 0.004
75.206 78.179 1.062 0.836 0.006
62.224 183.969 0.652 0.821 0.007
73.610 78.536 0.819 0.863 0.008
78.001 90.535 1.218 0.796 0.008
75.694 64.440 nan 0.963 0.008
67.617 193.686 0.895 1.123 0.008
61.958 184.860 0.615 0.804 0.009
71.342 206.102 2.024 0.781 0.009
79.375 46.710 0.637 1.307 0.010
74.667 119.381 1.777 0.863 0.010
61.824 181.150 0.896 0.851 0.010
79.191 49.205 0.646 1.169 0.011
80.204 54.310 0.814 0.631 0.011
61.321 190.689 0.668 0.754 0.011
71.521 228.453 1.232 1.390 0.011
61.635 186.643 0.603 0.856 0.012
73.288 74.002 nan 0.907 0.013
62.700 183.562 0.683 0.955 0.013
70.787 300.619 1.309 1.032 0.013
81.749 48.302 1.200 1.115 0.013
74.667 293.749 1.578 0.881 0.013
75.694 281.310 0.986 1.256 0.014
77.438 110.376 1.354 0.701 0.014
61.762 183.906 0.666 0.906 0.014
68.932 192.031 2.449 1.016 0.014
75.811 81.357 1.047 1.030 0.015
73.955 113.515 nan 0.914 0.015
75.172 150.524 nan 0.839 0.016
65.162 22.720 nan 0.382 0.016
79.693 46.762 0.653 0.935 0.016
72.645 60.945 0.929 0.722 0.016
74.975 83.565 1.155 0.756 0.017
68.575 190.601 2.752 1.092 0.017
64.002 194.338 nan 1.301 0.018
75.736 280.426 0.797 0.841 0.018
71.757 194.636 2.328 0.867 0.018
69.613 297.272 1.387 0.747 0.019
76.913 141.263 nan 0.960 0.019
74.019 71.565 0.964 1.113 0.019
82.200 57.907 1.238 1.188 0.019
81.332 63.104 0.413 1.195 0.019
74.757 112.977 nan 0.737 0.020
76.979 112.810 nan 0.705 0.020
72.499 58.658 0.972 0.945 0.021
78.269 211.715 2.304 1.304 0.021
73.876 296.030 1.509 1.020 0.021
74.774 123.573 1.408 0.729 0.022
70.749 260.923 2.082 0.963 0.022
66.170 301.057 1.423 0.934 0.023
