################## FYI, April 2016 values
### Lats,Lons,PIOMAS SIT,CS2U SIT,CS2C SIT
69.663 337.551 0.686 0.975 0.024
73.263 295.017 1.351 0.991 0.024
74.938 77.518 1.047 0.880 0.024
62.884 188.873 0.737 0.705 0.024
74.887 295.994 1.711 0.902 0.024
72.534 150.301 2.785 0.779 0.024
79.361 106.526 1.852 0.968 0.025
73.873 197.425 1.937 1.016 0.025
73.373 342.300 0.836 0.758 0.025
77.026 146.997 1.843 1.253 0.026
74.437 73.657 0.981 0.921 0.026
71.041 194.778 2.544 0.876 0.026
76.257 283.696 1.390 0.877 0.026
67.838 246.954 nan 1.009 0.026
78.530 39.447 0.618 0.857 0.026
80.142 81.501 1.337 1.122 0.027
75.392 295.974 1.854 1.021 0.027
79.062 45.000 0.628 0.663 0.028
68.654 279.413 1.744 1.269 0.028
78.650 200.225 2.147 0.976 0.028
69.802 302.716 1.266 0.727 0.028
79.649 56.482 0.827 1.118 0.029
81.166 347.550 1.120 0.540 0.029
74.050 60.005 nan 1.175 0.029
77.369 80.287 1.152 1.057 0.030
73.990 81.529 nan 0.807 0.030
63.717 190.151 0.859 0.792 0.030
68.246 300.150 1.391 0.917 0.030
59.507 187.046 0.601 0.744 0.030
61.284 188.386 0.607 0.936 0.031
60.618 157.091 0.670 0.390 0.031
74.598 267.075 1.728 0.813 0.032
76.261 149.036 2.101 1.081 0.032
80.081 32.074 0.899 0.528 0.033
78.610 118.836 1.721 1.083 0.034
78.947 53.246 0.760 0.887 0.034
76.446 72.165 1.218 1.218 0.034
68.716 301.588 1.341 0.865 0.034
77.077 86.517 1.073 0.987 0.034
64.038 191.799 0.966 1.206 0.035
68.114 193.393 1.306 0.899 0.035
77.710 115.396 1.612 0.874 0.035
73.791 290.695 1.569 0.991 0.035
74.073 151.809 2.953 0.717 0.036
62.397 185.407 0.579 1.021 0.036
79.191 40.795 0.658 1.127 0.036
74.220 73.887 0.987 0.858 0.036
73.732 279.137 nan 0.768 0.037
81.550 75.411 1.366 1.019 0.037
74.506 290.799 1.610 0.771 0.037
79.122 63.699 1.347 0.873 0.037
75.080 114.444 1.438 0.893 0.037
81.211 78.977 1.328 1.290 0.038
77.764 87.374 1.189 1.036 0.038
82.317 36.703 1.467 1.031 0.039
77.984 112.496 1.635 0.835 0.039
71.441 205.478 2.066 0.977 0.039
74.998 84.417 1.144 0.701 0.040
68.522 301.273 1.378 0.798 0.040
78.583 35.407 0.653 0.690 0.041
66.320 325.477 nan 0.474 0.041
60.591 184.196 0.678 0.807 0.041
75.747 90.451 nan 0.632 0.041
77.587 108.435 1.486 0.884 0.042
75.234 133.768 1.640 0.719 0.042
73.034 292.999 1.369 1.025 0.042
77.649 212.391 2.295 1.165 0.042
78.838 33.530 0.684 0.897 0.042
70.225 296.711 1.411 1.150 0.042
78.278 75.033 1.186 1.005 0.043
64.547 188.418 0.623 0.784 0.044
76.798 282.265 1.655 1.184 0.044
63.087 185.543 0.539 0.721 0.045
76.714 146.712 1.878 1.228 0.045
73.977 117.104 nan 1.246 0.045
73.766 151.484 2.996 0.818 0.046
81.275 74.358 1.359 0.973 0.046
78.650 32.905 0.666 0.817 0.046
77.302 24.528 0.625 1.173 0.046
74.301 83.841 1.011 0.689 0.047
76.646 144.574 1.743 1.058 0.047
74.585 296.378 1.654 0.893 0.047
81.321 66.413 2.144 0.834 0.048
79.122 88.229 1.396 1.187 0.048
75.876 135.000 1.392 0.682 0.049
62.167 185.363 0.588 0.675 0.049
74.874 70.489 0.977 1.272 0.049
72.325 266.719 nan 1.336 0.050
79.698 292.380 0.920 0.975 0.050
74.948 82.716 1.003 0.900 0.050
71.260 194.954 2.488 0.886 0.050
81.229 24.928 1.471 1.064 0.050
62.683 191.217 0.827 0.845 0.050
74.304 287.916 1.544 1.051 0.050
79.149 56.802 0.904 0.949 0.050
79.693 43.238 0.685 1.032 0.051
66.379 191.846 2.079 1.272 0.051
62.511 181.650 0.892 1.170 0.051
61.084 183.366 0.705 0.811 0.051
74.764 78.524 1.067 0.948 0.051
62.350 186.340 0.555 0.739 0.052
73.832 78.378 0.948 0.785 0.052
74.073 118.191 1.023 0.919 0.052
71.009 261.486 2.082 0.914 0.053
75.490 64.822 nan 1.205 0.053
73.845 75.094 nan 1.048 0.053
69.237 303.949 1.335 0.729 0.054
74.757 292.977 1.553 0.747 0.055
72.784 68.962 nan 0.943 0.055
74.070 294.578 1.517 1.005 0.055
72.179 132.444 1.384 1.183 0.056
80.406 75.801 1.343 0.973 0.056
73.946 199.195 1.905 0.911 0.056
81.269 33.486 1.368 1.244 0.056
81.356 71.095 1.439 1.020 0.056
73.769 294.969 1.460 0.956 0.056
77.539 87.421 1.142 0.998 0.057
76.353 135.666 1.282 0.893 0.057
73.157 342.532 0.867 0.962 0.058
61.824 178.850 0.437 1.014 0.058
65.836 37.030 nan 1.082 0.058
79.418 61.535 1.622 1.197 0.058
76.487 119.332 1.586 1.146 0.058
80.204 35.690 0.854 1.029 0.059
75.584 73.258 1.046 1.208 0.059
66.829 299.434 1.560 0.904 0.060
60.945 186.488 0.652 0.741 0.060
76.879 210.292 2.207 1.173 0.060
79.337 50.117 0.661 1.251 0.060
76.683 113.325 nan 0.833 0.060
74.777 151.356 2.224 0.733 0.061
72.337 60.662 0.909 0.822 0.061
66.827 192.075 2.194 1.527 0.061
70.591 225.470 1.169 0.837 0.061
81.058 74.745 1.350 1.144 0.061
69.873 337.306 0.415 1.652 0.061
63.203 181.692 0.936 0.885 0.062
82.002 37.030 1.396 0.839 0.062
70.057 236.041 1.049 1.037 0.062
71.646 64.220 0.941 0.797 0.063
81.508 36.416 1.254 1.023 0.063
72.517 225.521 1.442 0.922 0.063
74.003 200.980 1.873 0.854 0.063
74.003 290.980 1.614 0.951 0.063
73.151 60.871 1.065 0.911 0.063
73.974 295.308 1.513 0.968 0.063
79.480 38.946 0.696 1.088 0.063
75.213 285.408 1.498 0.938 0.063
70.394 299.949 1.411 0.856 0.064
79.071 68.962 1.307 0.897 0.064
62.815 192.245 0.815 1.160 0.064
79.528 47.603 0.636 1.362 0.064
75.553 189.389 2.146 1.073 0.064
77.813 26.801 0.608 1.067 0.065
73.657 299.208 1.454 1.093 0.065
74.281 74.673 0.992 0.865 0.065
74.887 115.994 nan 1.033 0.065
77.938 110.120 1.606 0.901 0.065
81.092 39.898 0.965 1.065 0.065
72.962 295.382 1.303 0.968 0.066
70.324 194.910 2.108 0.960 0.066
73.367 69.852 0.542 0.985 0.067
75.138 291.721 1.545 1.045 0.067
73.710 201.435 1.858 1.225 0.068
73.004 58.517 nan 0.956 0.069
74.130 292.027 1.575 0.949 0.069
73.955 293.515 1.515 0.956 0.069
74.220 286.113 1.380 0.998 0.070
64.164 192.882 nan 1.130 0.070
73.151 299.129 1.426 0.959 0.070
78.770 58.055 0.868 0.718 0.070
79.707 54.752 0.781 1.299 0.070
74.275 294.918 1.550 0.934 0.070
79.722 62.038 1.747 1.162 0.070
69.488 57.095 0.639 0.529 0.070
74.684 115.626 nan 0.977 0.071
75.182 130.083 1.779 0.787 0.071
75.865 73.867 1.053 1.124 0.071
72.048 61.991 0.875 0.941 0.072
63.439 181.219 1.010 1.046 0.072
79.437 199.204 2.161 1.207 0.073
79.523 62.613 1.551 0.827 0.073
81.616 67.203 1.868 1.084 0.073
74.717 291.098 1.605 0.954 0.073
79.990 68.318 1.311 1.078 0.073
70.832 62.382 0.840 1.042 0.074
72.225 299.970 1.319 1.091 0.075
75.059 239.775 1.994 1.229 0.075
68.709 281.904 1.386 0.499 0.075
74.275 78.048 1.045 1.151 0.075
76.038 76.522 1.040 1.171 0.075
75.584 114.370 0.990 0.868 0.076
72.926 210.446 1.712 1.098 0.076
79.615 60.945 1.830 1.019 0.076
76.038 283.478 1.237 1.065 0.076
78.632 233.017 3.385 1.393 0.076
76.121 83.967 1.018 1.020 0.077
71.541 62.030 0.866 0.828 0.077
81.984 74.604 1.385 1.177 0.077
70.976 230.758 1.162 0.956 0.077
76.771 112.433 nan 0.773 0.077
77.567 111.705 1.291 0.887 0.077
69.993 193.333 2.336 0.938 0.078
69.917 295.560 1.367 0.931 0.078
61.578 187.549 0.595 0.759 0.078
79.571 69.228 1.295 1.088 0.079
69.807 65.292 0.848 0.952 0.079
78.495 74.745 1.213 1.079 0.079
77.938 106.750 1.619 1.010 0.079
81.263 40.840 1.007 0.999 0.079
63.646 182.703 0.724 0.855 0.079
76.875 90.490 0.918 1.028 0.079
64.285 188.842 0.942 0.760 0.079
70.431 237.680 1.247 1.088 0.080
78.605 113.791 1.713 0.955 0.080
74.460 203.416 1.866 1.104 0.080
72.534 299.699 1.359 0.952 0.080
74.372 72.867 0.975 0.873 0.080
81.286 45.000 1.096 0.995 0.080
76.890 113.714 nan 0.808 0.081
73.965 151.101 2.942 0.790 0.081
78.672 38.571 0.625 1.189 0.081
80.549 79.756 1.321 1.231 0.081
73.151 294.001 1.345 0.927 0.081
76.089 146.182 1.964 0.991 0.081
62.120 186.289 0.566 0.839 0.082
73.864 294.246 1.481 1.052 0.082
71.367 341.346 1.104 0.679 0.082
70.525 297.897 1.385 0.939 0.082
61.777 183.447 0.689 0.872 0.082
78.107 118.740 1.649 0.999 0.083
75.375 131.889 1.730 0.753 0.083
75.962 145.421 1.866 0.748 0.083
74.499 277.074 nan 0.572 0.083
70.763 195.255 2.419 0.864 0.084
80.250 37.528 0.834 0.951 0.084
76.294 114.677 1.499 0.865 0.084
73.121 292.297 1.407 1.175 0.084
75.708 74.982 1.026 1.275 0.084
81.280 47.083 1.182 1.100 0.084
75.588 118.361 1.742 1.001 0.084
77.689 210.069 2.254 1.151 0.085
73.984 127.593 nan 0.849 0.085
63.426 182.193 0.815 0.978 0.085
78.010 114.887 1.652 0.914 0.085
71.250 302.260 1.203 0.972 0.086
61.911 191.853 0.760 0.949 0.086
74.369 114.171 0.807 0.861 0.086
80.005 30.303 0.869 0.725 0.086
80.071 36.741 0.802 1.156 0.086
75.715 134.363 1.528 0.722 0.087
78.929 105.866 1.749 0.895 0.087
77.547 88.452 1.140 1.145 0.087
73.303 341.565 0.743 1.365 0.087
72.616 67.580 0.994 1.178 0.088
69.800 241.007 nan 1.053 0.088
74.382 296.012 1.611 0.846 0.088
76.611 85.675 1.025 0.860 0.089
75.237 135.000 1.608 0.818 0.089
74.214 278.591 nan 0.727 0.089
73.242 293.299 1.396 1.182 0.089
75.087 70.201 1.019 1.046 0.089
66.736 190.330 2.814 1.482 0.090
71.813 67.080 0.865 0.896 0.090
77.405 81.293 1.157 1.044 0.091
68.979 191.430 2.558 1.012 0.091
70.355 233.852 1.015 0.866 0.091
74.333 124.487 0.802 0.616 0.091
79.313 77.276 1.279 1.118 0.092
73.349 285.255 1.241 0.968 0.092
77.628 98.865 1.517 1.018 0.092
77.143 125.770 1.568 1.082 0.092
76.180 137.632 0.620 0.714 0.092
77.147 136.414 1.395 0.846 0.093
80.240 77.400 1.341 1.196 0.093
77.187 113.199 1.424 0.860 0.093
74.634 121.251 1.745 0.610 0.093
63.904 180.744 1.020 0.781 0.094
65.693 299.778 1.187 0.651 0.094
68.166 192.817 1.958 0.924 0.094
62.990 192.815 0.856 1.016 0.094
69.909 298.431 1.412 0.795 0.095
61.266 184.745 0.668 0.951 0.095
74.985 115.224 nan 0.988 0.095
69.802 237.284 nan 1.180 0.095
78.269 35.665 0.620 0.739 0.095
76.346 83.868 1.040 1.036 0.096
78.386 210.774 2.289 1.188 0.096
75.648 83.264 1.067 0.896 0.096
73.040 60.208 1.037 0.836 0.096
69.719 166.195 nan 0.962 0.097
74.499 285.546 1.379 0.956 0.097
78.997 81.209 1.295 1.073 0.097
76.794 83.660 1.084 0.969 0.097
71.830 150.739 nan 0.681 0.097
81.952 55.204 1.212 1.279 0.097
73.657 287.190 1.390 0.921 0.098
73.826 276.780 nan 0.843 0.098
74.003 285.890 1.313 0.987 0.098
74.928 291.405 1.590 1.107 0.098
78.847 39.289 0.633 1.109 0.098
79.528 42.397 0.676 0.975 0.098
71.604 67.353 0.674 0.931 0.098
78.619 26.313 0.625 1.124 0.099
75.368 73.511 1.021 1.024 0.099
81.200 21.666 1.507 0.921 0.099
70.749 235.474 1.296 0.840 0.100
75.053 284.349 1.352 0.959 0.100
74.272 241.422 nan 1.522 0.101
73.373 287.700 1.383 1.018 0.101
75.275 86.941 0.736 0.764 0.101
77.620 137.203 1.582 0.895 0.101
70.733 63.285 0.862 0.903 0.101
74.757 202.977 1.889 0.965 0.101
72.555 61.949 0.900 1.070 0.102
68.857 303.267 1.157 0.753 0.102
76.067 149.511 2.177 1.214 0.102
73.236 59.826 1.186 0.995 0.103
60.628 187.755 0.650 0.889 0.103
70.106 225.917 1.079 1.134 0.103
74.470 118.974 1.756 0.667 0.103
74.874 114.092 1.233 0.969 0.103
71.721 289.772 1.174 1.077 0.103
73.974 205.308 1.825 0.958 0.103
61.454 185.688 0.627 0.983 0.104
80.422 28.664 1.221 0.874 0.104
73.564 282.231 nan 0.687 0.104
74.362 79.658 1.075 1.147 0.104
61.476 174.764 nan 0.786 0.105
79.890 54.019 0.746 1.141 0.105
79.280 68.532 1.303 1.157 0.105
77.434 139.343 1.530 1.039 0.105
78.213 27.784 0.592 1.109 0.105
79.262 53.489 0.767 0.897 0.105
80.996 73.369 1.359 1.065 0.106
62.008 176.525 nan 0.777 0.107
74.369 294.171 1.544 1.194 0.108
79.935 52.237 0.660 0.819 0.108
73.648 185.123 2.403 0.945 0.108
72.085 288.662 1.280 0.985 0.109
75.009 129.531 1.788 0.837 0.109
81.761 43.898 1.142 1.123 0.109
78.874 49.086 0.624 0.752 0.109
67.892 193.257 1.458 1.219 0.109
81.804 93.918 1.394 1.157 0.110
77.567 74.836 1.140 1.059 0.111
79.811 29.667 0.842 0.946 0.111
76.176 86.743 0.948 1.008 0.111
62.008 183.475 0.687 0.853 0.111
78.915 118.379 1.763 1.169 0.111
74.884 81.027 1.159 0.917 0.112
70.824 65.389 0.995 0.723 0.112
73.487 270.390 1.464 0.665 0.112
72.139 65.854 0.977 0.991 0.112
77.526 266.392 1.718 1.271 0.113
75.511 290.400 1.452 1.177 0.113
79.020 49.970 0.666 0.763 0.113
74.724 82.823 1.131 0.842 0.114
74.578 151.756 2.735 0.759 0.115
75.462 214.303 2.089 1.203 0.115
62.517 271.179 1.164 0.595 0.115
72.305 59.036 0.911 0.853 0.115
71.499 229.436 1.194 0.747 0.115
77.381 210.440 2.246 1.202 0.115
79.610 293.523 nan 1.337 0.116
63.215 192.922 0.831 0.995 0.116
70.816 240.880 1.931 0.708 0.116
75.673 84.155 1.051 0.725 0.116
69.490 240.762 nan 1.083 0.117
79.509 40.668 0.692 0.978 0.117
73.370 296.046 1.397 0.948 0.117
72.291 196.595 2.077 0.828 0.117
79.480 194.184 2.152 1.171 0.119
74.764 281.476 0.991 0.991 0.119
61.685 191.759 0.737 0.753 0.119
71.201 228.395 1.255 0.755 0.119
80.919 38.991 0.936 1.054 0.119
76.413 87.634 0.952 1.058 0.119
74.864 130.186 1.789 0.811 0.119
65.540 301.417 1.176 1.231 0.120
74.079 206.384 1.831 1.015 0.120
63.416 182.680 0.749 0.992 0.120
78.806 119.389 1.752 1.019 0.120
70.436 193.637 2.396 0.964 0.120
70.710 193.145 2.456 0.986 0.120
79.294 72.324 1.285 0.900 0.120
71.991 229.050 1.133 0.898 0.120
69.709 298.129 1.396 0.875 0.120
68.039 281.540 1.684 0.749 0.121
74.690 129.644 1.757 0.734 0.121
78.438 87.221 1.313 1.023 0.121
66.005 299.578 1.172 0.960 0.121
76.944 139.879 nan 0.794 0.121
75.947 71.854 1.189 1.158 0.121
77.214 97.561 1.098 0.825 0.122
76.672 135.682 1.322 0.843 0.122
75.598 76.938 1.037 0.984 0.122
80.646 43.059 0.859 0.970 0.122
63.185 182.657 0.774 0.825 0.122
75.151 73.757 0.996 0.871 0.122
67.676 280.176 1.738 0.594 0.122
74.233 71.307 0.964 1.114 0.122
78.115 26.323 0.643 0.916 0.122
60.260 189.426 0.710 0.844 0.122
77.772 101.104 0.847 1.311 0.123
64.134 179.249 nan 0.812 0.123
74.874 294.092 1.591 1.008 0.123
65.917 298.846 0.914 1.604 0.123
81.526 65.807 2.165 0.959 0.123
68.755 191.310 2.556 1.037 0.123
80.132 74.859 1.343 1.102 0.124
71.127 302.838 1.232 0.885 0.124
78.770 31.945 0.673 1.027 0.124
71.791 286.869 nan 0.950 0.124
79.219 64.767 1.372 0.922 0.124
75.138 121.409 1.770 0.703 0.124
77.262 140.001 1.469 1.067 0.125
76.346 136.998 1.204 0.769 0.125
64.354 190.914 0.984 0.749 0.125
81.126 43.977 0.987 1.202 0.126
78.712 34.479 0.669 0.776 0.126
79.029 82.367 1.318 1.108 0.126
59.879 184.531 0.660 0.892 0.126
72.187 58.416 0.886 1.128 0.126
70.630 64.179 0.978 0.780 0.127
74.388 125.633 1.483 0.656 0.127
80.808 45.988 0.930 0.912 0.127
63.876 182.726 0.690 0.910 0.127
76.320 82.933 1.048 0.889 0.128
74.121 284.331 1.195 0.949 0.128
77.151 135.000 1.437 0.792 0.128
72.073 286.390 0.759 1.221 0.129
72.616 300.710 1.370 0.937 0.129
78.897 35.134 0.686 0.836 0.129
70.670 301.192 1.260 0.927 0.129
71.850 296.089 1.311 1.253 0.130
70.543 195.081 2.245 0.868 0.130
72.572 218.718 1.637 0.842 0.131
73.459 151.172 2.956 0.849 0.131
77.526 213.261 2.299 1.232 0.131
74.526 83.752 1.067 0.957 0.132
80.957 33.887 1.254 0.951 0.132
66.027 298.374 0.537 0.990 0.132
77.657 287.447 0.561 1.285 0.132
73.567 61.858 1.150 1.189 0.133
71.296 187.253 3.086 1.199 0.133
70.538 233.461 1.010 0.741 0.133
80.603 39.193 0.872 0.888 0.134
61.246 174.806 nan 0.815 0.134
68.443 300.450 1.405 0.539 0.134
76.514 143.797 1.556 1.029 0.134
75.448 121.115 1.748 0.911 0.135
71.951 62.956 0.895 0.910 0.136
69.246 190.944 2.641 0.908 0.136
69.224 301.709 1.294 0.960 0.136
78.338 146.768 1.916 1.166 0.136
76.016 144.142 1.764 0.843 0.136
79.533 102.995 nan 1.072 0.137
79.756 36.995 0.752 1.032 0.137
80.396 82.626 1.303 1.233 0.137
60.621 183.315 0.695 0.821 0.137
77.851 80.972 1.189 1.009 0.137
64.214 192.393 0.809 0.884 0.137
81.373 37.614 1.131 1.075 0.138
78.703 40.170 0.623 0.906 0.138
71.507 289.537 1.027 1.441 0.138
73.713 270.395 1.574 1.017 0.138
80.427 38.346 0.848 0.940 0.139
65.697 37.455 nan 0.858 0.139
60.562 188.629 0.667 0.905 0.139
64.136 179.750 nan 0.872 0.139
77.226 110.026 1.258 0.911 0.140
70.575 199.274 nan 0.764 0.140
80.517 35.380 0.964 0.994 0.140
62.469 183.532 0.692 0.959 0.140
78.460 32.300 0.646 1.068 0.140
73.206 291.588 1.436 1.056 0.141
72.299 288.895 1.302 1.143 0.141
76.991 135.699 1.362 0.751 0.141
66.425 191.310 2.149 1.009 0.141
75.271 75.434 1.005 1.080 0.141
71.326 229.885 1.204 0.828 0.142
79.811 60.333 2.052 0.717 0.142
69.815 297.565 1.409 0.908 0.142
74.050 299.995 1.485 0.911 0.143
76.817 137.759 1.129 0.811 0.143
75.641 201.552 1.962 1.167 0.143
62.748 181.189 1.061 0.995 0.143
79.698 75.510 1.321 1.065 0.144
72.941 287.241 1.304 0.999 0.144
70.638 73.460 nan 1.790 0.144
76.875 142.640 1.475 1.122 0.144
71.743 205.145 2.186 1.096 0.145
70.433 235.305 1.118 0.922 0.145
72.053 296.405 1.301 1.027 0.145
77.710 25.396 0.683 0.896 0.145
80.613 113.199 1.787 1.076 0.146
60.033 155.664 nan 0.821 0.146
70.933 64.493 0.977 0.699 0.146
73.946 289.195 1.567 1.069 0.146
75.448 71.565 1.135 1.001 0.147
81.234 38.774 1.042 1.187 0.148
74.159 289.463 1.606 1.076 0.148
76.401 86.689 0.979 0.984 0.148
74.395 283.736 1.201 1.002 0.148
77.206 27.688 0.572 1.174 0.148
77.772 137.974 1.654 0.995 0.148
68.187 296.697 1.458 1.961 0.148
76.596 118.496 1.557 0.919 0.149
74.447 77.067 1.021 0.881 0.149
74.281 206.748 1.847 1.412 0.149
73.270 220.643 1.806 1.492 0.149
78.192 210.217 2.276 1.347 0.149
81.724 50.492 1.223 1.240 0.150
69.498 193.655 1.623 0.865 0.150
79.224 71.188 1.282 1.049 0.150
77.913 83.073 1.210 1.266 0.150
80.646 34.261 1.101 1.282 0.151
76.836 147.529 1.888 1.264 0.151
61.497 184.783 0.650 0.975 0.151
76.361 74.249 1.083 0.906 0.151
75.389 152.057 2.682 1.041 0.151
59.676 187.948 0.634 0.837 0.152
77.290 74.124 1.144 1.194 0.152
79.094 192.465 2.158 1.270 0.152
74.985 295.224 1.685 1.065 0.152
79.394 35.538 0.733 0.835 0.152
76.023 147.458 2.075 1.223 0.152
73.076 290.601 1.418 0.970 0.152
76.510 136.348 1.280 0.776 0.152
76.604 116.350 1.574 1.056 0.153
71.632 213.009 1.578 0.986 0.153
69.947 225.455 nan 0.958 0.153
71.057 301.897 1.170 0.966 0.153
72.757 64.938 0.903 0.916 0.153
74.340 292.335 1.558 0.832 0.153
72.852 294.382 1.318 1.301 0.153
78.920 205.787 2.205 1.359 0.154
71.073 225.000 1.252 0.790 0.154
71.934 290.014 1.317 0.812 0.154
79.489 68.085 1.311 1.092 0.154
70.160 219.015 1.917 1.268 0.154
77.206 115.442 1.527 0.842 0.154
78.717 205.292 2.196 1.043 0.154
74.159 70.537 0.962 1.361 0.154
79.422 64.250 1.433 1.087 0.155
77.302 114.528 1.468 1.061 0.155
75.330 80.754 1.127 0.896 0.155
68.661 192.496 2.244 1.003 0.156
60.858 187.815 0.642 0.834 0.156
63.160 183.621 0.657 0.886 0.156
74.519 288.172 1.586 1.185 0.156
71.033 297.933 1.350 0.859 0.156
81.455 34.315 1.367 1.205 0.156
79.826 116.847 1.798 1.084 0.156
62.782 186.918 0.540 0.837 0.157
63.906 179.752 nan 1.055 0.157
81.115 66.991 2.069 0.954 0.157
79.441 52.765 0.724 1.297 0.157
74.516 129.114 1.712 0.684 0.157
79.196 59.444 1.165 0.802 0.158
74.437 126.787 1.566 0.861 0.158
73.769 213.140 1.844 1.164 0.158
77.551 89.484 1.112 1.450 0.158
80.112 293.369 1.076 0.909 0.159
73.826 263.220 1.883 0.733 0.159
75.427 282.002 1.043 0.953 0.160
75.786 118.791 1.723 1.364 0.160
70.912 225.477 1.225 0.803 0.160
69.833 338.733 0.881 0.890 0.160
77.896 76.608 1.157 2.036 0.160
76.143 74.501 1.061 1.192 0.160
80.629 41.121 0.856 1.109 0.160
70.420 223.137 1.423 1.049 0.161
77.851 99.028 1.652 1.164 0.161
71.030 65.106 0.996 0.798 0.161
77.135 137.827 1.380 0.831 0.161
72.763 212.758 1.661 1.471 0.161
74.146 272.842 nan 0.709 0.161
75.872 133.713 1.527 0.814 0.161
81.200 68.334 1.766 1.369 0.162
71.875 58.183 0.828 0.904 0.162
74.965 293.311 1.571 0.901 0.162
74.483 297.121 1.644 1.103 0.162
75.518 72.408 1.043 1.062 0.162
73.965 118.899 nan 1.035 0.163
72.810 301.092 1.393 1.138 0.163
81.115 76.139 1.347 1.247 0.163
76.664 79.824 1.098 1.240 0.163
74.834 128.991 1.745 0.862 0.163
75.087 289.799 1.627 0.910 0.163
74.572 126.119 1.531 0.707 0.164
74.480 127.948 1.609 0.750 0.164
60.398 187.696 0.658 1.085 0.165
76.063 142.853 nan 0.977 0.165
77.214 82.439 1.138 1.084 0.165
74.684 207.504 1.883 1.283 0.165
62.511 271.650 1.195 0.413 0.166
79.108 66.337 1.313 0.767 0.166
63.011 186.976 0.530 0.847 0.166
59.534 189.638 0.749 1.190 0.166
75.861 132.427 1.622 0.832 0.166
77.685 127.600 1.649 1.303 0.166
74.227 77.250 1.020 0.865 0.166
78.308 114.353 1.684 1.115 0.167
77.458 211.842 2.275 1.247 0.167
74.519 71.828 0.966 0.891 0.167
62.734 272.139 1.162 0.495 0.167
70.530 63.583 0.847 0.992 0.167
80.858 70.677 1.445 1.011 0.168
76.187 92.328 0.513 0.837 0.168
79.796 38.758 0.734 0.918 0.168
75.694 152.430 2.370 1.331 0.168
60.791 188.695 0.660 0.969 0.168
70.591 300.280 1.364 1.102 0.168
75.254 120.665 1.772 0.760 0.168
75.162 71.017 1.032 1.069 0.169
78.672 88.299 1.356 0.964 0.169
79.219 117.897 1.782 1.054 0.169
74.572 233.881 1.887 1.336 0.170
79.751 185.648 2.149 1.190 0.170
72.036 232.628 1.090 0.973 0.170
75.641 148.422 nan 0.876 0.170
67.340 194.105 1.104 1.043 0.170
75.994 115.128 1.613 1.004 0.171
62.656 188.800 0.686 0.843 0.171
76.442 79.992 1.077 1.166 0.171
69.884 194.580 1.834 0.878 0.171
74.777 284.959 1.377 1.035 0.171
80.240 347.400 0.733 1.327 0.172
77.405 118.163 1.540 1.121 0.172
74.549 292.652 1.549 0.988 0.172
