################## FYI, April 2011 values
### Lats,Lons,PIOMAS SIT,CS2U SIT,CS2C SIT
75.861 132.427 1.969 1.118 0.048
74.717 158.902 1.807 1.372 0.048
77.458 31.842 1.285 1.313 0.048
75.872 133.713 1.995 1.199 0.048
75.584 65.630 nan 1.320 0.048
71.892 181.779 1.657 1.573 0.048
79.252 82.208 1.760 1.253 0.049
60.493 157.668 0.596 0.654 0.049
76.514 135.000 1.855 1.043 0.049
74.884 117.897 1.089 0.773 0.049
78.026 123.541 1.689 1.161 0.049
69.678 303.250 1.131 1.014 0.049
80.507 101.575 1.693 1.354 0.049
75.189 295.594 1.488 1.080 0.049
71.615 184.560 1.511 1.340 0.049
73.901 255.867 2.017 1.414 0.050
74.437 73.657 1.258 1.129 0.050
62.581 189.734 0.543 1.180 0.050
72.415 164.809 1.717 1.294 0.050
71.408 210.132 1.868 1.455 0.050
74.750 186.340 1.929 1.415 0.050
70.122 295.840 1.174 1.210 0.050
79.576 106.876 1.635 1.093 0.050
79.698 30.750 2.190 1.341 0.050
72.008 162.924 1.671 1.303 0.051
79.990 291.682 1.511 1.511 0.051
74.089 72.332 1.211 1.043 0.051
76.577 196.011 1.977 1.377 0.051
76.480 139.038 nan 1.124 0.051
71.138 163.726 1.560 1.068 0.051
77.612 116.333 1.463 1.141 0.051
77.776 112.094 1.332 1.298 0.052
77.458 282.918 nan 1.236 0.052
73.769 213.140 1.952 1.339 0.052
78.330 81.714 1.612 1.325 0.052
76.034 134.349 1.987 1.067 0.052
77.579 129.872 1.738 1.227 0.053
77.369 142.214 1.546 1.552 0.053
73.367 62.223 1.130 1.102 0.053
79.935 108.838 1.817 1.108 0.053
77.539 177.421 1.925 1.457 0.053
76.672 134.318 1.819 1.103 0.053
75.330 80.754 1.936 0.927 0.053
74.717 201.098 1.977 1.474 0.053
78.416 154.179 1.940 1.590 0.053
76.100 116.358 1.181 0.941 0.054
79.801 167.949 1.888 1.442 0.055
76.875 52.640 0.983 1.816 0.055
79.441 80.838 1.770 1.263 0.055
73.936 271.202 1.632 1.295 0.055
66.601 300.396 1.029 0.722 0.055
80.841 104.886 1.943 1.244 0.055
73.701 302.047 1.066 1.255 0.055
75.448 288.435 1.208 1.367 0.055
72.552 294.749 1.262 1.274 0.055
63.537 196.113 nan 2.457 0.056
74.140 79.804 1.274 0.926 0.056
72.802 288.672 1.364 1.294 0.057
78.712 124.479 1.788 1.167 0.057
75.448 185.755 1.937 1.440 0.057
72.088 166.574 1.733 1.370 0.058
73.545 299.890 1.126 1.162 0.058
71.236 205.183 1.158 1.339 0.058
73.076 302.530 1.093 0.969 0.058
72.360 159.487 1.694 1.601 0.058
80.204 35.690 1.792 1.493 0.058
71.516 293.290 1.255 1.150 0.059
72.357 63.925 1.338 1.273 0.059
78.103 46.528 1.222 1.528 0.059
71.192 213.785 2.017 1.506 0.059
74.304 72.084 1.276 1.080 0.059
74.918 135.000 2.060 1.401 0.060
79.149 123.198 1.827 1.186 0.060
76.714 33.288 1.282 1.138 0.060
60.094 191.140 0.684 1.178 0.060
73.567 118.142 nan 0.735 0.061
78.672 51.429 1.202 1.430 0.061
80.219 108.020 1.829 1.195 0.061
73.791 159.305 1.776 1.192 0.061
75.189 115.594 1.064 0.691 0.062
76.702 80.776 1.576 1.128 0.062
71.480 201.737 1.623 1.851 0.063
72.291 286.595 0.981 1.412 0.063
79.845 47.684 1.588 1.594 0.063
76.298 196.654 1.983 1.585 0.063
74.460 293.416 1.452 1.095 0.063
77.053 37.962 1.089 1.467 0.063
73.499 291.150 1.302 1.195 0.063
78.897 125.134 1.817 1.253 0.063
78.806 29.389 1.590 1.261 0.063
74.098 280.993 1.429 1.433 0.063
67.820 187.883 1.634 1.419 0.064
72.560 296.400 1.272 1.296 0.064
73.920 201.727 1.994 1.923 0.064
79.480 51.054 1.365 1.463 0.064
76.143 84.890 1.318 1.217 0.064
73.370 296.046 1.265 1.173 0.065
69.483 54.828 0.571 1.162 0.065
79.025 34.177 1.812 1.697 0.065
72.864 296.061 1.256 1.201 0.065
72.139 167.276 1.746 1.293 0.066
74.294 290.508 1.387 1.169 0.066
75.883 23.916 0.856 1.493 0.066
66.722 195.450 nan 1.148 0.066
73.025 170.475 1.812 1.240 0.066
71.690 291.997 1.294 1.303 0.066
77.214 146.449 1.559 1.227 0.066
74.275 281.952 1.409 1.351 0.066
75.275 86.941 0.856 0.977 0.066
71.516 66.710 0.960 0.972 0.066
76.461 124.875 1.606 1.165 0.066
69.490 299.238 1.201 1.125 0.067
78.530 50.553 1.191 1.326 0.067
73.701 212.047 1.956 1.375 0.067
75.758 149.191 nan 1.145 0.067
72.156 342.022 1.061 1.383 0.067
74.717 77.699 1.469 1.014 0.067
70.070 160.542 1.330 1.173 0.067
76.067 149.511 1.371 1.254 0.067
77.959 122.062 1.663 1.011 0.067
73.067 219.075 2.124 1.604 0.068
80.858 19.323 nan 2.061 0.068
73.016 177.346 2.034 1.352 0.068
75.722 290.714 0.995 1.194 0.068
73.835 67.533 1.442 1.128 0.068
68.709 181.515 nan 1.309 0.069
75.933 291.038 0.747 1.337 0.069
74.275 294.918 1.390 1.176 0.069
70.821 165.393 1.657 1.421 0.069
76.596 151.504 1.665 1.555 0.069
73.236 300.174 1.125 1.149 0.069
73.505 163.787 1.771 1.307 0.070
74.275 276.973 nan 1.105 0.070
66.829 330.566 0.760 1.176 0.070
74.975 128.326 1.640 0.878 0.070
75.237 135.000 2.057 1.160 0.070
77.088 198.750 2.000 1.640 0.070
73.151 299.129 1.174 1.248 0.070
74.156 73.106 1.184 1.023 0.070
78.213 34.144 1.457 1.412 0.070
68.522 301.273 1.126 1.093 0.071
75.189 154.406 1.733 1.512 0.071
78.338 123.232 1.727 1.194 0.071
76.499 137.694 1.052 1.323 0.071
70.512 177.022 2.149 1.506 0.071
74.480 127.948 1.472 0.838 0.072
79.826 40.533 1.667 1.786 0.072
79.811 60.333 1.811 1.269 0.072
71.408 59.868 0.671 1.660 0.072
77.183 98.556 1.841 1.223 0.072
77.302 114.528 1.168 1.037 0.073
72.458 297.058 1.292 1.177 0.073
70.982 210.964 1.775 1.551 0.073
76.487 150.668 1.584 1.379 0.074
77.547 181.548 1.957 1.726 0.074
78.269 54.335 1.163 1.326 0.074
71.994 301.209 1.285 1.189 0.074
70.425 64.466 1.297 0.979 0.074
81.779 70.084 2.266 1.746 0.074
70.976 230.758 2.544 1.349 0.074
65.930 301.977 1.003 0.904 0.074
78.115 116.323 1.679 1.054 0.074
66.798 300.677 1.006 0.985 0.074
71.331 294.558 1.241 1.434 0.074
58.845 189.428 0.571 1.198 0.075
79.461 122.845 1.840 1.334 0.075
58.540 195.690 0.432 1.385 0.075
71.370 211.675 1.921 1.406 0.075
75.378 65.993 nan 1.335 0.076
74.082 69.775 1.387 1.280 0.076
72.748 166.054 1.751 1.324 0.076
72.034 165.877 1.718 1.420 0.076
75.469 23.199 0.722 1.225 0.076
78.001 52.595 1.101 1.158 0.076
77.349 284.899 1.391 1.148 0.076
74.447 257.067 2.004 1.279 0.076
70.475 300.851 1.193 1.069 0.076
73.206 291.588 1.265 1.180 0.076
71.755 212.417 1.975 1.420 0.077
73.955 279.265 nan 0.997 0.077
77.490 185.659 1.969 1.444 0.077
79.624 79.418 1.760 1.019 0.077
73.965 298.899 1.156 1.215 0.077
71.858 176.091 2.190 1.743 0.077
74.006 282.572 1.483 1.403 0.077
71.875 211.817 1.993 1.358 0.077
74.227 282.750 1.446 1.188 0.077
75.431 68.772 1.543 1.446 0.078
80.565 105.852 1.860 1.234 0.078
72.864 153.939 1.564 1.145 0.079
71.665 181.757 1.403 1.551 0.079
71.122 174.188 2.188 1.603 0.079
75.019 122.142 1.399 0.992 0.079
70.194 173.804 1.538 1.439 0.079
74.519 161.828 1.800 1.595 0.079
72.563 177.414 2.139 1.400 0.079
77.689 83.199 1.574 1.220 0.080
75.641 148.422 nan 1.063 0.080
70.920 163.915 1.555 1.105 0.080
72.528 166.232 1.743 1.413 0.080
82.713 87.357 2.225 1.599 0.080
76.424 180.474 1.958 1.542 0.080
75.368 240.092 nan 1.382 0.080
71.799 186.028 1.544 1.480 0.080
76.829 144.008 1.311 1.270 0.080
60.822 190.961 0.696 1.464 0.081
77.442 72.860 1.612 1.781 0.081
62.392 279.192 1.746 0.879 0.081
80.781 16.232 2.531 1.711 0.081
74.480 295.267 1.419 1.225 0.081
77.077 93.483 1.325 1.491 0.081
77.053 52.038 0.981 1.421 0.081
70.725 298.210 1.248 1.005 0.081
78.069 68.499 1.795 1.755 0.081
74.252 293.091 1.410 1.110 0.082
74.827 121.691 1.371 0.886 0.082
75.800 287.003 1.127 1.263 0.082
74.757 202.977 1.964 1.609 0.082
78.239 138.865 1.907 1.240 0.082
68.076 187.381 1.712 1.362 0.082
70.933 295.507 1.222 1.131 0.082
81.432 78.690 2.190 1.611 0.083
81.580 93.814 1.352 1.605 0.083
75.053 157.479 1.810 1.306 0.083
78.201 183.814 1.980 1.541 0.083
75.915 191.489 1.954 1.563 0.083
75.053 202.521 1.959 1.507 0.083
68.282 302.289 1.121 1.062 0.083
69.731 301.837 1.107 1.111 0.083
74.887 76.686 1.487 1.105 0.083
69.067 293.118 0.440 1.046 0.084
70.591 292.850 nan 1.167 0.084
75.019 125.238 1.436 0.950 0.084
75.347 67.954 1.233 1.484 0.084
75.511 69.600 1.630 1.328 0.084
75.609 218.032 2.124 1.515 0.084
69.202 295.317 0.970 0.980 0.085
75.469 128.729 1.709 0.981 0.085
73.936 181.202 2.012 1.544 0.085
71.433 298.583 1.297 1.053 0.085
78.399 55.235 1.218 1.258 0.085
78.086 35.036 1.398 1.623 0.085
68.611 193.085 1.443 1.577 0.085
75.872 120.027 1.399 1.059 0.085
72.317 170.119 1.797 1.293 0.086
78.460 57.700 1.344 1.592 0.086
73.367 152.223 1.633 1.054 0.086
74.272 298.578 1.189 1.139 0.086
75.901 146.689 1.096 1.047 0.086
71.030 191.976 1.595 1.434 0.086
77.768 121.504 1.634 1.114 0.086
80.020 12.319 1.399 1.306 0.087
78.838 56.470 1.375 1.498 0.087
75.726 183.155 1.955 1.575 0.088
75.736 272.255 nan 1.318 0.088
73.939 286.661 1.421 1.149 0.088
76.198 126.404 1.637 1.134 0.088
70.990 215.853 2.130 1.291 0.088
75.389 207.943 1.984 1.478 0.089
78.712 55.521 1.301 1.357 0.089
69.306 297.541 1.126 1.296 0.089
77.649 110.739 1.175 1.467 0.089
70.300 171.129 1.215 1.398 0.089
70.285 182.944 1.384 1.512 0.089
78.833 83.660 1.675 1.394 0.089
74.519 288.172 1.351 1.208 0.090
71.749 296.723 1.305 1.217 0.090
68.088 301.974 1.150 1.090 0.090
76.979 22.810 1.297 1.369 0.090
71.830 209.261 1.963 1.730 0.090
74.050 299.995 1.110 1.115 0.090
76.836 122.471 1.553 1.062 0.090
74.684 297.504 1.297 1.243 0.090
71.799 210.842 1.966 1.410 0.090
71.065 214.351 2.043 1.343 0.090
75.368 209.908 1.989 1.369 0.090
79.094 77.535 1.680 1.469 0.090
79.801 77.949 1.784 1.464 0.091
74.044 67.225 1.363 1.045 0.091
74.995 74.820 1.450 1.382 0.091
72.923 219.661 2.155 1.543 0.091
77.913 173.073 1.884 1.670 0.091
73.673 295.684 1.294 1.074 0.092
74.022 218.723 2.120 1.482 0.092
68.488 297.773 1.037 1.419 0.092
74.294 159.492 1.790 1.354 0.092
64.214 192.393 0.941 2.095 0.093
76.081 196.390 1.977 1.626 0.093
81.426 72.512 2.087 1.622 0.093
76.195 135.000 1.937 1.200 0.093
77.768 58.496 1.308 1.429 0.093
77.604 138.668 1.778 1.302 0.093
79.043 76.390 1.694 2.071 0.093
80.328 63.138 1.528 1.344 0.094
79.920 81.690 1.949 1.639 0.094
80.406 112.671 1.945 1.155 0.094
72.305 300.964 1.235 1.198 0.094
69.853 179.040 nan 1.355 0.094
71.212 209.787 1.797 1.545 0.094
68.884 294.242 0.804 0.964 0.094
80.919 38.991 1.857 1.715 0.095
71.152 161.565 1.445 1.081 0.095
67.504 301.062 1.023 0.993 0.095
74.499 285.546 1.432 1.155 0.095
76.829 133.620 1.773 1.187 0.095
73.242 283.570 1.085 0.989 0.095
74.178 205.656 1.999 1.462 0.095
71.743 295.145 1.273 1.165 0.095
71.563 302.042 1.257 1.046 0.096
75.800 289.867 1.077 1.337 0.096
73.958 213.579 1.944 1.391 0.096
67.815 281.424 1.489 1.319 0.096
77.337 122.705 1.601 1.137 0.096
74.162 299.291 1.150 1.200 0.096
79.437 160.796 1.929 1.304 0.096
71.179 220.638 2.299 1.205 0.097
77.526 176.392 1.917 1.615 0.097
75.850 68.114 1.168 1.896 0.097
74.614 76.065 1.310 1.102 0.098
80.678 103.201 1.822 1.280 0.098
72.325 213.589 2.002 1.231 0.098
69.393 181.565 1.060 1.497 0.098
74.634 201.879 1.975 1.748 0.098
79.361 41.583 1.647 1.385 0.098
67.978 297.745 nan 1.081 0.098
79.323 63.166 1.826 1.695 0.098
78.179 141.934 1.866 1.552 0.099
74.887 125.933 1.421 0.875 0.099
74.496 257.876 1.993 1.294 0.099
79.418 118.465 1.859 1.204 0.099
71.830 299.261 1.326 1.280 0.099
80.646 43.059 2.049 1.642 0.099
69.772 300.417 1.168 1.175 0.099
74.178 115.656 nan 0.766 0.099
79.271 122.196 1.833 1.387 0.100
71.291 197.128 1.643 1.538 0.100
76.906 154.093 1.854 1.383 0.100
79.062 45.000 1.640 1.440 0.100
71.724 342.457 1.353 1.285 0.100
70.859 220.711 2.328 1.256 0.100
76.012 290.179 nan 1.415 0.100
72.737 293.394 1.242 1.056 0.100
76.737 38.130 1.111 1.291 0.101
78.717 115.292 1.831 1.212 0.101
71.632 298.918 1.315 1.090 0.101
72.153 207.372 2.069 1.387 0.101
69.001 193.962 0.697 1.397 0.101
73.626 300.964 1.086 1.083 0.101
67.669 297.987 nan 1.084 0.101
69.600 294.444 0.954 1.102 0.101
59.270 192.139 0.609 1.261 0.102
75.983 150.767 1.459 1.250 0.102
72.965 297.072 1.246 1.129 0.102
71.646 205.780 1.696 1.614 0.102
76.991 44.301 1.080 1.349 0.102
73.610 78.536 0.771 0.824 0.103
74.724 82.823 1.746 1.167 0.103
67.669 332.013 0.464 1.665 0.103
70.824 294.611 1.179 1.222 0.103
75.427 282.002 1.187 1.122 0.104
64.467 23.731 nan 1.162 0.104
65.493 299.516 0.858 0.816 0.104
68.898 295.608 0.964 1.186 0.104
74.948 288.705 1.352 1.236 0.104
76.092 151.574 1.566 1.401 0.104
71.405 183.814 1.483 1.532 0.104
73.769 65.031 1.270 1.148 0.105
71.696 167.586 1.780 1.225 0.105
74.441 300.822 1.105 1.289 0.105
79.620 37.983 1.679 1.291 0.105
61.731 191.310 0.684 1.233 0.105
69.400 298.386 1.142 1.337 0.105
80.727 11.853 1.691 2.307 0.105
79.309 60.479 1.692 1.538 0.105
66.634 302.386 1.004 0.866 0.106
72.852 344.416 1.449 1.379 0.106
62.581 279.734 1.489 0.437 0.106
83.257 125.538 2.079 1.588 0.106
78.717 117.838 1.790 1.231 0.106
70.202 293.797 1.028 1.255 0.106
76.012 131.748 1.939 1.118 0.106
73.920 177.198 1.970 1.421 0.106
73.820 121.373 1.067 1.067 0.107
75.162 71.017 1.477 1.111 0.107
76.649 89.519 1.199 1.222 0.107
75.733 287.865 1.105 1.266 0.107
75.563 120.353 1.380 0.982 0.107
70.765 179.665 0.545 1.214 0.107
76.714 123.288 1.574 1.122 0.107
69.135 183.403 1.468 1.616 0.108
77.909 28.229 1.428 1.511 0.108
76.375 288.733 0.898 1.069 0.108
71.574 185.954 1.502 1.676 0.108
80.727 25.017 nan 1.485 0.108
77.466 186.680 1.971 1.525 0.108
71.293 160.694 1.459 1.097 0.108
74.424 158.429 1.790 1.604 0.109
72.572 200.772 1.879 1.593 0.109
70.160 194.115 1.566 1.684 0.109
71.932 156.146 1.459 1.408 0.109
73.920 182.802 1.995 1.427 0.109
73.197 121.884 nan 0.828 0.110
69.385 182.191 1.396 1.507 0.110
72.645 299.055 1.240 1.305 0.110
72.508 163.195 1.712 1.423 0.110
63.332 193.977 0.834 1.343 0.110
77.329 100.713 0.776 1.099 0.110
76.089 199.312 2.002 1.805 0.110
71.212 299.787 1.279 1.219 0.110
71.850 296.089 1.298 1.239 0.111
66.827 302.685 1.007 1.148 0.111
76.480 130.962 1.803 1.056 0.111
73.873 152.186 1.696 1.473 0.111
75.330 121.866 1.428 0.953 0.111
79.950 82.954 2.078 1.681 0.111
79.960 56.842 0.654 2.287 0.112
74.864 299.798 1.172 1.366 0.112
74.667 293.749 1.492 1.117 0.112
75.800 19.867 0.811 1.180 0.112
72.291 196.595 1.743 1.512 0.112
68.596 302.101 1.112 1.112 0.112
78.107 118.740 1.672 1.341 0.112
70.308 57.127 0.824 0.901 0.112
72.070 214.786 1.995 1.546 0.112
74.470 208.974 1.961 1.456 0.113
80.406 75.801 1.909 1.626 0.113
80.147 109.259 1.871 1.124 0.113
72.645 209.055 2.073 1.436 0.113
79.698 120.750 1.852 1.249 0.113
68.013 301.165 1.078 1.021 0.114
73.166 297.420 1.237 1.194 0.114
79.920 118.560 1.881 1.237 0.114
70.670 301.192 1.200 1.100 0.114
74.934 73.996 1.418 1.364 0.114
72.968 165.872 1.760 1.332 0.114
75.765 292.724 nan 1.104 0.115
77.454 132.101 1.760 1.331 0.115
74.661 250.769 nan 1.240 0.115
74.864 130.186 1.759 1.206 0.116
73.468 295.346 1.287 1.119 0.116
80.891 31.931 1.827 1.583 0.116
76.016 125.858 1.617 1.087 0.116
73.285 171.107 1.828 1.429 0.116
71.977 165.184 1.698 1.220 0.116
71.932 293.854 1.279 1.039 0.117
74.275 83.027 1.603 1.046 0.117
78.192 30.217 1.462 1.470 0.117
73.303 161.565 1.766 1.555 0.117
71.342 63.898 1.343 1.029 0.117
77.337 147.295 1.645 1.386 0.117
77.100 180.498 1.951 1.690 0.117
