################## FYI, April 2011 values
### Lats,Lons,PIOMAS SIT,CS2U SIT,CS2C SIT
70.710 175.653 2.020 1.586 0.000
73.626 292.166 1.312 1.102 0.000
60.763 185.556 0.655 1.226 0.001
76.514 126.203 1.636 1.247 0.001
71.638 195.994 1.677 1.414 0.001
77.147 147.836 1.610 1.149 0.002
67.878 186.727 1.648 1.379 0.002
77.722 39.068 1.250 1.403 0.002
78.421 46.569 1.357 1.406 0.003
76.649 138.406 nan 1.585 0.003
80.858 70.677 2.166 1.303 0.003
80.224 61.966 1.789 1.080 0.003
79.361 168.453 1.871 1.550 0.003
73.270 206.737 2.101 1.343 0.003
77.286 41.424 1.102 1.392 0.003
70.530 178.345 1.302 1.236 0.003
72.225 289.581 1.383 1.091 0.003
77.640 143.858 1.665 1.340 0.004
74.750 300.530 1.134 1.306 0.004
78.557 138.972 1.941 1.254 0.004
74.178 295.656 1.348 1.153 0.005
72.692 255.332 nan 1.397 0.005
75.070 126.439 1.503 0.796 0.005
76.589 145.911 1.293 1.244 0.006
69.716 296.707 1.159 1.281 0.006
77.490 95.659 1.783 1.737 0.006
79.663 80.640 1.828 1.393 0.006
58.506 157.777 0.546 0.341 0.007
75.189 297.536 1.408 1.043 0.007
76.353 134.334 1.905 0.987 0.007
76.089 19.312 0.989 1.182 0.007
78.299 71.565 1.721 1.284 0.007
74.965 66.689 1.320 1.288 0.008
70.617 294.334 1.129 1.170 0.008
68.159 302.788 1.144 0.811 0.008
72.153 297.372 1.324 1.108 0.008
72.763 175.888 2.018 1.509 0.008
75.138 68.279 1.408 1.295 0.008
76.162 288.435 0.969 1.300 0.009
79.835 34.216 1.892 1.600 0.009
75.172 293.654 nan 1.116 0.009
79.504 120.124 1.845 1.159 0.009
69.620 181.582 1.097 1.506 0.009
58.680 191.066 0.569 1.496 0.009
62.456 281.125 0.972 0.903 0.009
76.213 123.043 1.550 0.911 0.009
66.051 301.519 1.025 0.921 0.010
70.813 303.038 1.269 1.418 0.010
77.458 211.842 2.133 1.371 0.010
73.873 297.814 1.209 1.158 0.010
74.324 121.527 1.324 0.912 0.010
69.711 295.286 1.060 1.131 0.011
66.949 327.787 0.511 1.408 0.011
75.546 76.072 1.563 1.207 0.011
80.819 23.749 nan 1.526 0.011
67.948 184.982 nan 1.270 0.011
77.921 48.764 1.135 1.556 0.012
75.708 285.018 1.246 1.261 0.012
76.646 121.954 1.532 0.931 0.012
58.577 189.768 0.546 1.171 0.012
70.279 300.515 1.190 1.097 0.012
77.514 70.589 1.745 1.299 0.012
75.883 36.597 1.406 1.308 0.013
77.772 101.104 1.571 1.215 0.013
73.441 343.040 1.021 1.681 0.014
73.157 72.532 nan 0.754 0.014
71.646 176.840 2.257 1.627 0.014
73.722 286.434 1.416 1.111 0.014
77.053 127.962 1.676 1.280 0.014
67.251 331.276 0.564 1.095 0.015
69.485 293.611 0.723 0.857 0.015
71.098 194.119 1.609 1.383 0.016
68.603 304.276 1.026 1.188 0.016
71.932 203.854 1.854 1.616 0.016
68.869 299.707 1.175 1.437 0.016
78.897 54.866 1.318 1.386 0.017
72.514 289.134 1.371 1.118 0.017
71.538 222.532 2.350 1.462 0.017
71.646 64.220 1.417 1.017 0.017
78.304 29.268 1.465 1.508 0.017
77.006 117.229 1.240 0.940 0.018
78.874 139.086 1.975 1.251 0.018
77.494 29.554 1.338 1.273 0.018
77.649 147.609 1.762 1.358 0.018
69.896 220.914 nan 1.728 0.018
73.166 152.580 1.610 1.245 0.018
67.062 194.514 1.081 1.225 0.019
80.646 18.869 nan 1.104 0.019
67.170 187.090 1.209 1.547 0.019
74.585 296.378 1.378 1.216 0.019
76.198 115.523 1.162 0.834 0.019
79.509 288.048 0.740 1.379 0.020
77.620 47.203 1.139 1.160 0.020
73.573 296.390 1.259 1.096 0.020
73.487 270.390 1.329 1.312 0.020
71.192 183.085 1.424 1.166 0.020
72.885 302.125 1.115 1.364 0.020
72.450 57.022 0.483 0.923 0.020
71.395 292.380 1.256 1.092 0.020
69.815 297.565 1.204 1.057 0.020
72.225 342.711 1.310 1.179 0.021
74.734 161.565 1.807 1.589 0.021
66.510 302.851 0.993 0.962 0.021
70.285 177.056 2.070 1.361 0.021
73.673 297.446 1.235 1.208 0.021
77.454 42.101 1.132 1.475 0.022
69.165 194.712 0.898 1.175 0.022
77.938 84.130 1.577 1.203 0.022
71.839 294.503 1.274 1.214 0.022
69.817 296.136 1.147 1.188 0.022
70.617 298.796 1.246 1.101 0.022
74.834 255.861 1.543 1.050 0.022
67.003 195.058 1.038 1.488 0.022
69.378 299.784 1.202 1.185 0.023
76.589 199.041 1.998 1.596 0.023
79.403 113.039 1.909 1.086 0.024
77.302 93.545 1.501 1.449 0.024
68.013 188.545 1.724 1.345 0.024
71.384 259.912 1.340 1.199 0.024
77.989 177.325 1.934 1.579 0.024
78.421 43.431 1.383 1.575 0.024
74.928 201.405 1.970 1.417 0.025
73.330 202.590 2.014 1.480 0.025
64.663 190.008 1.022 1.708 0.025
78.107 81.870 1.597 1.264 0.025
78.137 82.942 1.598 1.276 0.025
76.180 132.368 1.920 1.110 0.026
76.180 203.443 2.036 1.928 0.026
75.172 209.476 1.968 1.398 0.027
68.835 301.068 1.130 0.998 0.027
80.005 107.622 1.756 1.075 0.027
79.219 44.157 1.655 1.476 0.027
69.802 302.716 1.086 0.852 0.028
73.462 283.753 1.350 1.210 0.028
74.437 143.213 nan 1.295 0.028
72.291 163.405 1.696 1.422 0.028
82.775 71.003 2.129 1.632 0.028
72.450 186.988 1.690 1.371 0.029
67.894 301.665 1.106 0.941 0.029
72.911 292.011 1.236 1.137 0.029
80.199 67.834 2.193 1.422 0.030
74.003 290.980 1.352 1.098 0.030
79.504 30.124 2.054 1.937 0.030
76.802 70.641 1.767 1.232 0.030
68.225 303.608 1.078 1.124 0.031
71.847 297.676 1.328 1.121 0.031
71.348 174.118 2.135 1.604 0.032
74.874 204.092 1.957 1.552 0.032
70.122 297.290 1.230 0.940 0.032
79.441 37.235 1.704 1.500 0.033
78.386 49.699 1.195 1.398 0.033
73.444 289.418 1.319 1.144 0.033
76.646 178.556 1.941 1.441 0.033
75.676 150.422 1.231 1.214 0.033
71.438 197.996 1.668 1.775 0.033
74.777 255.041 1.839 1.091 0.033
76.525 122.764 1.552 0.980 0.034
79.029 82.367 1.675 1.270 0.034
76.937 110.614 nan 0.864 0.034
79.935 37.763 1.692 1.539 0.034
74.598 182.925 1.972 1.510 0.034
71.870 223.493 2.358 1.486 0.034
72.660 297.395 1.278 1.143 0.034
74.844 157.805 1.803 1.291 0.034
71.574 196.666 1.666 1.316 0.035
74.654 253.421 1.135 1.256 0.035
68.327 300.964 1.089 1.142 0.035
75.998 297.181 1.581 1.465 0.036
77.714 123.835 1.664 0.961 0.036
70.982 164.567 1.604 1.028 0.036
73.197 58.116 nan 0.949 0.036
70.835 63.886 1.261 1.037 0.036
75.138 121.409 1.383 0.877 0.036
77.784 74.560 1.626 1.578 0.036
71.499 220.564 2.266 1.389 0.036
75.786 118.791 1.308 0.926 0.036
70.316 294.661 1.092 1.180 0.036
76.379 126.964 1.659 1.014 0.036
76.294 114.677 1.063 0.862 0.036
75.694 207.570 2.014 1.389 0.037
63.275 194.448 0.702 2.030 0.037
75.009 290.606 1.459 1.126 0.037
70.083 180.324 1.349 1.204 0.037
81.200 68.334 2.562 1.419 0.037
73.760 221.074 2.212 1.454 0.037
70.917 293.997 1.202 1.167 0.037
78.672 141.429 1.949 1.533 0.039
81.280 69.702 2.324 1.314 0.039
74.159 70.537 1.356 1.376 0.039
77.976 93.743 1.968 1.217 0.039
74.734 288.435 1.351 1.119 0.039
79.722 27.962 2.429 1.423 0.039
78.039 51.089 1.116 1.378 0.039
74.887 295.994 1.447 1.209 0.039
76.775 145.366 1.334 1.111 0.039
74.734 71.565 1.390 0.991 0.040
79.905 112.865 1.922 1.131 0.040
74.844 67.805 1.350 1.253 0.040
78.988 51.613 1.246 1.353 0.040
78.412 118.301 1.731 1.223 0.040
78.213 50.404 1.148 1.359 0.041
69.856 180.320 1.347 1.306 0.041
71.546 63.591 1.299 1.084 0.041
76.335 122.255 1.531 0.926 0.042
73.518 198.682 1.923 1.517 0.042
73.958 123.579 nan 1.160 0.042
77.547 38.418 1.220 1.421 0.042
72.754 61.598 1.010 1.463 0.043
75.983 119.233 1.362 0.925 0.043
77.214 123.551 1.613 1.018 0.043
68.639 300.757 1.125 1.023 0.043
74.575 65.487 1.277 1.325 0.043
72.136 164.302 1.689 1.122 0.043
77.551 100.905 1.242 1.281 0.043
71.144 185.133 1.413 1.650 0.043
72.891 218.601 2.105 1.811 0.044
76.627 40.236 1.062 1.178 0.044
78.478 79.346 1.624 1.339 0.044
74.162 293.839 1.387 1.089 0.044
76.361 285.751 1.182 1.499 0.044
72.456 64.584 1.413 1.190 0.044
60.756 189.134 0.702 1.845 0.044
76.902 123.826 1.595 1.081 0.044
74.934 127.126 1.531 0.960 0.045
79.016 114.734 1.902 1.234 0.045
66.429 298.895 0.836 0.890 0.045
73.845 128.224 1.192 0.854 0.045
80.010 43.182 1.750 1.439 0.045
76.695 126.773 1.651 1.228 0.046
70.763 291.615 nan 0.858 0.046
75.292 153.239 1.674 1.064 0.046
80.391 31.651 2.029 1.781 0.046
73.785 285.673 1.450 1.287 0.046
81.853 71.565 2.160 1.375 0.047
69.590 183.478 1.431 1.349 0.047
73.876 296.030 1.293 1.218 0.047
77.863 51.754 1.080 1.470 0.047
71.870 189.638 1.615 1.374 0.047
79.112 118.940 1.838 1.242 0.047
70.936 189.851 1.542 1.457 0.047
73.974 64.692 1.217 1.160 0.047
76.242 127.711 1.695 1.044 0.047
62.742 271.664 1.435 0.640 0.048
72.873 162.041 1.745 1.460 0.048
77.088 140.641 1.472 1.360 0.048
72.085 198.662 1.735 1.463 0.048
