################## FYI, April 2013 values
### Lats,Lons,PIOMAS SIT,CS2U SIT,CS2C SIT
81.332 75.784 1.660 1.337 0.000
75.563 149.647 nan 0.749 0.000
74.301 142.556 nan 0.937 0.000
73.579 69.582 1.140 0.989 0.001
75.292 79.891 1.398 0.771 0.001
65.975 191.099 2.021 0.783 0.001
61.175 186.539 0.952 1.036 0.001
77.438 187.696 1.868 1.069 0.002
74.750 133.210 1.281 0.702 0.002
70.925 61.470 1.329 0.835 0.002
75.973 89.542 nan 0.610 0.004
70.704 60.297 1.273 1.131 0.004
76.202 284.601 1.374 0.600 0.004
75.199 186.532 1.733 1.178 0.005
59.609 156.016 1.054 0.565 0.005
77.913 186.927 1.917 1.141 0.005
59.026 157.848 0.432 0.746 0.005
60.580 158.076 0.505 0.640 0.006
75.518 287.592 1.487 1.063 0.006
79.361 78.453 1.423 0.986 0.006
73.955 76.645 1.382 0.663 0.007
59.737 187.098 0.949 1.075 0.007
73.832 214.242 2.161 1.601 0.007
78.073 189.197 1.949 1.060 0.007
71.192 303.785 1.608 2.569 0.007
74.634 121.251 1.933 0.598 0.007
73.901 284.133 1.567 0.903 0.008
67.617 193.686 0.971 0.964 0.008
70.925 159.642 2.469 0.708 0.008
73.946 132.732 0.898 0.810 0.008
75.673 185.845 1.750 1.300 0.009
74.372 70.263 1.333 0.981 0.009
60.317 159.214 0.392 0.613 0.009
60.137 188.069 0.914 1.563 0.010
69.868 56.399 1.022 0.659 0.011
70.501 66.541 0.620 1.037 0.011
73.955 133.866 1.072 0.874 0.011
75.172 82.606 1.053 0.717 0.011
74.647 124.271 1.297 0.680 0.011
60.181 182.395 1.015 0.797 0.012
73.151 136.621 1.833 0.861 0.012
76.480 80.929 1.408 0.932 0.012
74.178 64.344 1.487 0.956 0.012
74.844 292.195 1.489 1.007 0.013
75.448 84.245 1.302 0.835 0.013
69.298 46.322 0.596 0.751 0.013
75.396 187.507 1.728 1.274 0.014
74.975 128.326 1.556 0.718 0.014
77.726 192.131 1.931 1.259 0.014
77.226 196.844 1.944 1.103 0.014
76.577 196.011 1.852 1.385 0.015
57.993 190.832 0.699 0.999 0.015
74.333 214.487 2.158 1.215 0.015
75.330 211.866 2.091 1.264 0.015
61.398 158.409 nan 0.735 0.016
74.774 123.573 1.529 0.815 0.016
62.314 192.503 0.903 0.669 0.016
76.499 137.694 0.845 0.659 0.016
62.049 178.377 nan 0.683 0.017
74.998 84.417 1.374 0.624 0.017
63.796 185.194 0.653 0.964 0.017
73.873 72.575 nan 0.817 0.018
76.763 31.130 1.042 0.647 0.019
60.405 192.600 0.759 0.645 0.019
74.379 117.854 1.353 0.585 0.019
63.555 194.096 1.025 1.043 0.019
75.056 131.955 1.427 0.850 0.019
75.872 133.713 1.392 0.704 0.019
75.644 129.289 1.597 0.964 0.020
60.898 178.885 1.168 0.989 0.020
76.664 137.045 1.270 0.836 0.020
77.776 89.474 1.376 0.718 0.020
68.263 191.659 2.240 1.324 0.020
79.210 47.526 1.205 1.082 0.021
58.077 190.032 0.738 0.895 0.021
69.535 53.949 0.571 0.806 0.022
74.694 81.989 0.878 0.776 0.022
77.976 183.743 1.906 1.141 0.022
70.184 56.581 1.058 0.661 0.022
76.956 31.640 1.012 1.006 0.023
74.614 76.065 1.426 0.734 0.023
79.489 68.085 1.531 1.072 0.023
71.065 235.649 1.718 0.977 0.024
80.781 16.232 2.110 0.933 0.024
66.914 300.196 1.294 0.873 0.024
66.702 326.848 0.669 0.702 0.025
71.491 233.896 1.803 0.862 0.025
76.257 81.076 1.367 0.856 0.025
70.171 54.236 nan 1.025 0.026
73.242 129.560 0.668 0.704 0.026
75.511 290.400 1.293 1.127 0.026
74.227 77.250 1.440 0.641 0.028
74.431 136.753 1.382 0.624 0.028
62.660 193.634 0.770 1.155 0.028
72.253 345.700 1.179 0.626 0.028
59.912 183.671 0.953 0.786 0.029
72.415 74.809 nan 0.451 0.029
78.517 189.554 1.990 1.132 0.029
60.366 190.795 0.869 1.089 0.030
74.111 136.718 1.656 0.596 0.030
80.026 89.356 1.139 0.962 0.030
74.661 81.158 1.494 0.641 0.031
60.970 186.044 0.999 0.714 0.032
68.594 297.239 1.264 1.387 0.032
72.911 345.141 1.081 1.204 0.032
74.724 82.823 1.411 0.587 0.032
63.375 184.138 0.818 0.866 0.032
73.121 202.297 1.922 0.945 0.033
63.496 186.610 0.513 1.104 0.033
70.410 65.937 1.214 0.662 0.033
77.506 258.085 1.823 0.877 0.033
61.578 187.549 0.859 0.708 0.033
74.519 71.828 1.372 1.040 0.034
71.847 62.324 1.311 0.797 0.034
74.827 121.691 1.966 0.928 0.034
74.340 75.466 1.426 0.907 0.035
71.671 131.021 nan 0.792 0.035
71.977 345.184 1.180 0.849 0.035
80.480 42.138 1.562 1.109 0.035
76.191 133.683 1.435 0.820 0.036
72.899 348.247 1.346 0.695 0.036
78.256 79.548 1.468 1.070 0.037
60.138 190.713 0.859 1.093 0.037
73.288 69.128 1.074 0.880 0.038
71.671 228.979 2.128 1.293 0.038
76.368 84.806 1.271 0.925 0.038
66.124 302.264 0.863 0.434 0.038
78.997 188.791 2.018 0.981 0.038
74.324 211.527 2.039 1.180 0.038
66.716 299.917 1.223 1.023 0.038
62.397 185.407 0.825 0.898 0.038
71.671 178.946 1.494 0.700 0.039
71.173 233.746 1.791 1.088 0.039
75.588 70.436 1.811 1.145 0.039
79.375 46.710 1.254 0.832 0.039
