################## FYI, April 2013 values
### Lats,Lons,PIOMAS SIT,CS2U SIT,CS2C SIT
73.257 234.284 1.559 0.817 0.039
79.698 30.750 1.413 0.883 0.039
74.694 188.011 1.730 1.141 0.039
65.074 190.699 1.168 1.438 0.040
74.585 123.111 1.682 0.733 0.040
76.454 58.548 0.685 0.660 0.040
77.526 86.392 1.402 0.832 0.040
74.073 144.181 2.270 0.761 0.040
75.469 175.126 1.942 1.136 0.041
79.960 33.158 1.415 0.863 0.041
76.855 21.529 0.742 0.813 0.041
67.520 43.375 0.405 0.684 0.041
75.747 89.549 nan 0.609 0.042
76.514 143.797 1.629 0.719 0.042
74.667 293.749 1.421 0.935 0.042
76.529 192.995 1.802 1.459 0.043
74.388 181.236 1.872 0.987 0.043
74.654 286.579 1.687 0.932 0.043
77.813 63.199 1.361 0.683 0.043
61.548 190.774 0.875 1.019 0.044
75.213 285.408 1.683 1.026 0.044
73.791 69.305 1.210 0.977 0.044
78.069 40.426 1.157 0.974 0.044
57.625 191.940 0.640 0.804 0.044
71.743 295.145 1.318 0.924 0.045
72.372 341.796 0.807 1.013 0.045
80.694 87.930 1.239 0.851 0.045
74.073 215.819 2.225 1.269 0.045
75.758 149.191 nan 1.095 0.046
70.525 62.103 1.223 0.895 0.046
75.261 183.930 1.764 1.094 0.047
72.357 296.075 1.281 0.891 0.047
76.089 77.421 1.477 0.978 0.047
71.538 345.541 1.294 1.019 0.047
77.921 41.236 1.183 1.019 0.047
72.447 61.302 1.355 1.071 0.047
78.725 70.844 1.436 1.127 0.047
75.220 290.913 1.407 1.094 0.047
69.993 56.936 1.124 0.953 0.048
73.845 128.224 1.290 0.573 0.048
62.713 193.173 0.868 1.221 0.049
59.968 187.152 0.964 1.341 0.049
77.620 47.203 1.386 1.262 0.049
62.684 184.035 0.867 0.736 0.049
79.025 34.177 1.246 1.002 0.050
74.618 127.288 1.559 0.832 0.050
79.219 81.027 1.376 1.098 0.050
74.227 130.380 1.559 0.879 0.050
58.715 192.777 0.618 0.895 0.050
73.121 78.092 0.932 0.578 0.051
58.947 194.594 0.544 0.744 0.051
74.717 285.772 1.693 0.980 0.051
57.986 194.578 0.537 0.719 0.052
76.646 144.574 1.809 0.730 0.052
70.638 343.460 1.069 0.819 0.053
73.539 67.109 1.235 0.933 0.053
77.321 88.479 1.346 0.982 0.053
76.446 287.835 1.010 1.079 0.053
73.798 134.438 1.387 0.762 0.053
76.309 139.653 nan 0.862 0.054
74.073 234.181 1.843 0.748 0.054
77.884 82.020 1.468 1.041 0.054
68.541 303.440 1.201 0.731 0.054
77.909 61.771 1.348 0.916 0.055
76.195 135.000 1.288 0.743 0.055
80.700 90.690 1.161 0.669 0.055
74.618 142.712 nan 0.916 0.055
67.762 298.773 1.253 0.939 0.055
70.238 48.231 0.810 1.153 0.055
74.918 135.000 1.402 0.661 0.055
72.852 77.512 nan 0.597 0.056
77.751 40.544 1.214 0.695 0.056
78.650 69.775 1.441 0.936 0.056
78.961 32.560 1.249 1.004 0.056
74.388 144.367 1.910 1.032 0.056
78.797 108.072 2.936 0.685 0.057
81.822 89.215 1.654 1.035 0.057
72.325 176.719 2.107 1.191 0.057
74.887 125.933 1.644 0.691 0.057
73.157 134.459 1.746 0.915 0.057
71.351 159.161 2.411 0.897 0.057
75.375 131.889 1.464 0.935 0.058
68.391 296.966 1.276 1.057 0.058
62.700 183.562 0.932 1.028 0.058
71.400 232.368 1.825 0.671 0.058
72.725 197.021 1.902 0.974 0.059
69.945 52.294 0.709 0.798 0.059
77.997 178.394 1.906 1.298 0.059
75.275 236.189 1.827 0.917 0.059
75.053 284.349 1.690 0.840 0.060
74.437 143.213 nan 0.738 0.060
74.111 133.282 0.805 0.899 0.060
77.010 196.557 1.912 1.261 0.060
76.937 20.614 0.785 1.085 0.061
68.076 187.381 3.603 1.267 0.062
64.861 22.996 nan 1.145 0.062
74.162 128.089 1.483 0.558 0.063
74.572 126.119 1.575 0.634 0.063
81.356 86.285 1.446 0.916 0.063
76.672 134.318 1.498 0.750 0.064
75.901 123.311 1.886 0.682 0.064
67.520 46.625 0.612 1.059 0.064
60.181 190.285 0.865 0.944 0.064
68.486 191.781 2.214 1.340 0.065
61.482 291.168 1.119 7.188 0.065
58.212 194.681 0.536 0.750 0.065
75.486 183.991 1.767 1.273 0.066
80.716 72.440 1.649 1.165 0.066
59.534 186.623 0.952 1.055 0.067
69.202 191.553 2.261 1.331 0.067
74.178 80.605 1.490 0.791 0.067
80.727 348.147 1.325 0.911 0.068
76.162 18.435 0.951 0.756 0.068
61.497 184.783 0.929 1.049 0.068
76.514 196.928 1.863 1.094 0.068
76.290 82.003 1.336 0.832 0.068
71.724 342.457 0.949 1.349 0.069
64.336 193.486 nan 0.967 0.069
77.226 110.026 2.219 0.754 0.069
76.038 76.522 1.492 0.746 0.069
72.651 131.849 1.626 0.630 0.069
74.516 121.961 1.885 0.762 0.069
59.886 157.198 0.656 1.015 0.070
62.418 184.939 0.830 1.007 0.070
71.870 133.493 nan 0.752 0.070
72.253 255.700 nan 1.070 0.070
75.833 147.947 nan 1.189 0.070
80.700 89.310 1.172 0.813 0.071
74.754 126.617 1.608 0.654 0.071
76.231 197.549 1.844 1.210 0.071
76.353 135.666 1.220 1.019 0.071
69.901 53.194 0.734 0.812 0.072
75.087 289.799 1.610 0.838 0.072
73.151 65.999 1.222 0.955 0.072
70.832 62.382 1.265 0.847 0.072
73.879 230.654 1.953 1.174 0.073
80.010 86.785 1.176 0.949 0.073
75.736 79.574 1.392 0.925 0.073
72.291 286.595 1.068 1.224 0.073
70.285 340.324 0.810 0.878 0.073
74.437 73.657 1.377 0.928 0.074
63.314 191.976 1.084 1.097 0.074
76.331 144.353 1.879 0.777 0.074
61.108 182.470 0.971 0.809 0.075
72.899 78.247 nan 0.889 0.075
62.295 187.270 0.781 0.750 0.075
61.727 175.179 nan 0.720 0.075
58.032 192.507 0.620 0.877 0.076
79.855 73.968 1.488 1.135 0.076
65.483 182.902 nan 0.704 0.077
79.581 58.191 1.486 1.295 0.077
79.786 86.855 1.205 0.807 0.077
74.519 124.958 0.990 0.617 0.077
80.924 89.293 1.196 0.868 0.078
73.589 287.939 1.536 1.060 0.078
67.172 193.419 1.577 0.868 0.078
66.576 326.386 nan 1.059 0.079
65.155 189.676 1.451 0.755 0.079
61.807 187.610 0.834 0.867 0.079
75.114 127.648 1.601 0.807 0.079
59.760 157.760 0.503 1.052 0.080
77.006 27.229 1.015 1.189 0.081
74.480 127.948 1.513 0.767 0.081
72.085 176.042 2.061 0.969 0.081
72.025 137.027 1.875 0.735 0.081
63.439 193.031 1.027 0.982 0.082
78.039 51.089 1.311 1.093 0.082
76.346 133.002 1.521 0.758 0.083
78.001 89.465 1.421 0.685 0.083
78.610 186.216 1.965 1.321 0.085
64.263 191.902 1.053 0.841 0.085
76.748 76.787 1.517 0.993 0.086
79.062 45.000 1.257 1.093 0.086
62.965 182.157 1.173 1.260 0.086
74.175 283.543 1.614 1.068 0.086
59.938 182.808 0.959 0.921 0.086
67.062 332.805 0.633 0.661 0.086
75.865 286.133 1.488 1.132 0.087
77.851 189.028 1.924 1.110 0.087
74.079 130.996 1.570 0.797 0.088
75.588 199.564 1.825 1.179 0.089
79.145 106.189 2.910 0.721 0.089
74.006 77.428 1.451 0.749 0.089
70.720 53.063 0.622 1.053 0.089
68.799 47.583 0.675 0.886 0.089
73.917 79.946 1.418 0.721 0.089
77.959 32.062 1.112 1.036 0.089
71.638 344.006 1.118 0.939 0.089
63.498 194.569 0.958 1.534 0.089
61.761 193.201 0.660 1.380 0.089
76.361 74.249 1.554 0.941 0.090
58.227 188.419 0.809 0.824 0.090
78.961 80.059 1.413 1.094 0.091
75.472 78.864 1.403 0.846 0.091
72.225 197.289 1.967 1.717 0.091
77.551 89.484 1.330 0.781 0.091
75.897 185.937 1.754 1.473 0.092
74.159 70.537 1.277 0.903 0.092
80.112 66.631 1.922 1.230 0.092
79.504 30.124 1.405 1.145 0.093
71.774 291.342 1.378 1.055 0.093
77.842 345.579 0.940 1.175 0.093
79.437 70.796 1.476 1.120 0.094
75.019 197.892 1.752 1.434 0.094
71.741 61.699 1.335 0.734 0.094
74.914 133.794 1.330 0.757 0.095
67.467 297.719 nan 0.962 0.095
74.272 118.578 1.753 0.719 0.095
73.154 289.885 1.505 0.997 0.095
63.858 191.213 1.164 0.971 0.096
76.638 87.594 1.256 0.889 0.096
63.864 183.221 0.912 0.948 0.096
82.535 62.281 2.015 1.063 0.096
61.587 192.653 0.893 1.125 0.096
61.935 189.045 0.812 0.767 0.096
78.961 189.941 2.031 1.119 0.096
61.775 188.065 0.829 0.845 0.096
75.897 84.063 1.229 0.812 0.098
73.791 136.685 1.769 0.833 0.098
71.081 232.245 1.850 1.040 0.098
71.646 64.220 1.255 0.918 0.098
70.410 294.063 1.189 1.224 0.098
73.291 131.730 1.678 0.769 0.099
69.121 47.622 0.744 0.815 0.099
73.330 214.011 2.184 1.440 0.099
73.242 283.570 1.232 1.079 0.099
72.028 60.388 1.397 1.020 0.099
75.584 286.742 1.550 1.180 0.099
79.025 55.823 1.297 0.964 0.100
82.429 60.781 1.927 1.137 0.100
80.163 42.230 1.409 1.128 0.100
74.382 267.940 1.186 0.868 0.100
69.538 58.496 0.766 0.616 0.100
76.627 86.634 1.275 0.916 0.101
73.939 126.469 nan 0.685 0.102
61.790 177.011 0.610 0.943 0.102
64.064 184.246 nan 0.945 0.103
57.928 193.299 0.586 0.884 0.103
69.104 57.766 0.556 1.253 0.103
80.907 86.468 1.266 0.999 0.103
76.143 148.241 2.284 1.610 0.103
69.802 57.284 1.022 0.867 0.103
60.784 185.114 0.982 0.787 0.103
75.427 77.998 1.415 0.897 0.104
75.833 54.673 0.527 0.881 0.104
75.715 134.363 1.365 0.709 0.104
74.750 136.790 1.107 0.855 0.105
72.748 346.054 1.140 1.109 0.105
76.968 283.438 1.215 0.869 0.105
74.834 284.139 1.670 0.725 0.106
76.198 90.466 0.903 0.716 0.107
76.143 21.371 0.858 1.148 0.107
79.098 85.872 1.313 0.780 0.107
69.986 54.612 0.942 1.032 0.107
76.461 145.125 1.893 0.886 0.107
81.694 79.902 1.674 0.914 0.107
61.403 189.798 0.876 1.023 0.108
75.998 80.311 1.371 1.027 0.108
72.572 286.098 1.065 0.969 0.109
78.579 58.650 1.352 1.067 0.109
76.570 83.766 1.338 0.902 0.109
75.991 130.452 1.590 1.074 0.109
78.317 26.811 1.304 1.341 0.109
73.450 66.393 1.255 0.869 0.109
78.938 70.463 1.432 1.051 0.110
60.666 178.894 1.274 1.141 0.110
61.348 187.490 0.887 0.898 0.111
65.210 191.821 1.234 1.411 0.111
62.751 180.713 1.380 1.020 0.111
73.471 136.652 1.794 0.819 0.112
69.716 296.707 1.257 1.067 0.112
75.726 86.845 1.073 0.718 0.113
72.923 230.339 1.857 1.108 0.113
70.124 51.897 0.737 0.853 0.113
73.666 127.737 nan 0.829 0.114
75.083 151.699 2.868 0.855 0.114
75.542 132.483 1.455 0.872 0.114
61.257 193.434 0.581 0.826 0.114
79.441 80.838 1.364 1.235 0.114
73.635 133.888 1.368 1.074 0.115
69.288 47.203 0.773 0.684 0.115
77.242 186.563 1.848 1.166 0.115
70.122 62.710 1.016 1.070 0.115
74.470 118.974 1.948 0.787 0.116
76.180 23.443 0.932 1.026 0.116
79.441 189.162 2.042 1.124 0.116
60.876 182.451 0.982 1.177 0.116
76.604 63.650 nan 0.679 0.117
57.525 192.724 0.599 0.765 0.117
72.861 207.741 2.029 1.323 0.117
63.620 183.683 0.856 0.988 0.118
74.320 78.851 1.427 0.785 0.119
74.870 286.821 1.737 0.974 0.119
82.232 24.717 1.753 1.238 0.119
69.993 236.936 nan 1.035 0.119
68.048 246.724 1.976 0.520 0.120
73.564 77.769 1.014 0.717 0.120
70.931 166.701 2.574 1.179 0.120
75.182 130.083 1.520 0.706 0.120
75.937 85.882 1.171 0.913 0.121
70.045 164.632 2.258 0.839 0.121
76.063 142.853 nan 0.721 0.121
65.462 300.693 1.025 0.742 0.121
73.527 128.355 nan 0.769 0.121
74.204 125.159 0.694 0.741 0.122
60.402 182.851 0.967 0.836 0.122
71.233 61.746 1.345 0.865 0.122
74.118 134.427 1.307 0.854 0.123
71.842 131.486 nan 0.774 0.123
66.170 301.057 1.164 0.925 0.123
75.933 68.962 1.860 1.441 0.123
77.065 21.894 0.662 1.051 0.123
75.883 23.916 0.882 1.239 0.123
79.920 188.310 2.052 1.295 0.123
75.843 187.745 1.737 1.396 0.123
76.529 282.995 1.175 1.094 0.123
78.166 77.412 1.482 1.016 0.124
75.029 79.196 1.378 0.875 0.124
72.248 61.650 1.334 0.845 0.124
74.395 76.264 1.432 0.825 0.124
78.897 54.866 1.264 1.006 0.124
75.868 192.381 1.742 1.044 0.125
66.385 326.689 0.633 0.809 0.125
58.594 158.160 nan 0.695 0.125
76.646 88.556 1.198 0.872 0.125
67.843 43.352 0.571 0.711 0.125
76.089 146.182 2.105 0.985 0.125
75.327 129.413 1.552 0.735 0.126
67.224 192.867 1.949 1.269 0.126
61.284 188.386 0.880 0.975 0.126
71.307 234.302 1.799 1.021 0.126
71.541 62.030 1.327 0.901 0.126
79.112 177.049 1.963 1.278 0.126
70.016 50.484 0.657 0.635 0.127
78.650 106.645 2.867 0.703 0.127
73.873 117.814 nan 0.761 0.127
76.224 200.501 1.907 1.250 0.127
74.118 184.461 1.813 0.946 0.127
67.748 246.420 nan 0.868 0.128
67.197 43.398 nan 0.760 0.128
75.251 79.032 1.385 1.018 0.128
76.298 286.654 1.255 0.829 0.128
76.346 186.132 1.779 1.266 0.128
72.757 215.451 2.316 1.116 0.128
60.503 191.741 0.894 1.129 0.129
68.166 43.328 0.603 0.780 0.129
75.648 77.811 1.436 0.890 0.129
71.858 176.091 1.991 1.729 0.129
65.793 190.472 1.417 1.200 0.129
75.500 129.976 1.557 0.699 0.130
69.678 56.750 0.931 1.339 0.130
75.588 289.564 1.296 1.360 0.131
77.628 188.865 1.897 1.043 0.131
64.106 195.430 nan 0.789 0.131
79.011 108.435 2.967 1.045 0.131
76.611 85.675 1.294 0.916 0.131
72.763 206.732 2.056 1.221 0.131
69.363 56.570 0.709 1.317 0.131
70.326 63.875 1.222 1.163 0.132
73.315 136.091 1.817 1.055 0.132
76.794 196.280 1.881 1.211 0.132
72.802 131.292 1.551 0.949 0.132
58.155 189.227 0.773 0.859 0.132
75.588 151.639 2.374 0.801 0.133
77.959 184.808 1.910 1.251 0.133
75.818 129.864 1.595 0.700 0.133
62.021 183.013 0.942 1.169 0.133
81.580 93.814 1.388 1.274 0.133
74.098 132.138 1.475 0.854 0.133
71.122 234.700 1.803 1.118 0.133
71.323 60.811 1.378 1.111 0.134
70.057 236.041 1.039 0.980 0.134
82.123 60.154 1.876 1.516 0.134
65.342 190.281 1.243 0.936 0.134
75.138 211.409 2.057 1.351 0.134
76.544 172.816 1.943 1.006 0.135
69.222 194.112 1.019 1.039 0.135
70.522 65.063 1.248 0.871 0.135
65.241 183.397 nan 0.944 0.135
70.433 55.305 nan 0.898 0.135
59.643 188.372 0.887 1.291 0.136
71.293 59.273 1.472 1.077 0.136
74.294 200.508 1.788 1.163 0.136
72.011 289.341 1.473 0.941 0.136
70.254 222.691 2.727 1.179 0.136
66.484 300.870 1.209 0.969 0.136
76.331 131.673 1.587 0.819 0.136
73.657 287.190 1.543 0.978 0.137
63.567 185.150 0.686 1.090 0.137
75.327 283.717 1.508 1.337 0.137
74.757 292.977 1.455 0.855 0.137
72.666 137.102 1.857 0.921 0.137
76.476 76.079 1.511 1.045 0.138
76.442 79.992 1.445 0.944 0.138
74.275 133.843 1.159 0.867 0.138
76.702 189.224 1.795 1.251 0.139
73.735 76.827 1.084 0.606 0.139
78.605 66.209 1.489 0.900 0.139
76.771 129.495 1.738 1.030 0.140
77.242 173.437 1.916 1.025 0.140
81.275 74.358 1.687 1.296 0.140
72.196 344.999 1.144 0.947 0.140
74.304 287.916 1.601 1.008 0.141
80.507 78.425 1.478 1.136 0.141
77.187 76.329 1.512 0.948 0.142
76.794 61.040 nan 0.768 0.142
65.540 301.417 0.931 0.848 0.142
77.108 79.472 1.512 1.033 0.142
77.726 70.241 1.658 1.135 0.143
72.294 184.733 2.393 1.079 0.143
75.962 129.161 1.644 1.018 0.143
61.707 188.973 0.835 0.817 0.143
75.009 129.531 1.515 0.749 0.143
75.148 235.469 1.789 1.216 0.143
65.659 300.964 1.059 0.811 0.143
71.604 67.353 0.661 0.651 0.143
73.870 70.051 1.094 1.250 0.143
70.543 164.919 2.441 1.073 0.144
69.772 239.583 nan 0.945 0.144
72.995 136.071 1.863 1.406 0.144
73.288 200.872 1.887 1.353 0.144
72.754 61.598 1.350 0.847 0.144
71.699 344.683 1.150 0.960 0.144
74.233 288.693 1.568 1.039 0.145
75.673 84.155 1.265 0.904 0.145
69.303 45.441 0.555 0.642 0.145
70.184 303.419 1.438 1.246 0.145
73.034 202.999 1.937 1.151 0.145
63.725 186.667 0.450 1.140 0.145
68.666 302.935 1.268 0.795 0.145
77.784 74.560 1.454 0.948 0.145
77.214 82.439 1.462 0.779 0.146
73.873 185.194 1.833 1.359 0.146
73.804 127.108 nan 0.832 0.146
74.275 281.952 1.548 1.156 0.146
74.460 123.805 1.080 0.930 0.147
63.088 191.876 1.102 1.143 0.147
75.107 76.487 1.421 1.039 0.148
71.615 230.957 1.929 1.177 0.149
69.856 270.320 1.510 1.134 0.149
76.147 144.894 1.958 0.851 0.149
71.643 290.433 1.393 1.317 0.149
79.698 67.620 1.637 1.079 0.150
77.938 174.130 1.920 1.200 0.150
79.122 358.229 1.446 1.231 0.150
75.915 78.511 1.438 0.840 0.150
75.271 284.566 1.638 1.119 0.150
81.598 90.764 1.556 1.148 0.150
77.896 39.738 1.160 0.887 0.150
77.357 68.671 1.482 0.754 0.150
62.553 186.862 0.727 0.974 0.151
74.019 198.435 1.761 1.138 0.151
81.592 87.709 1.546 1.063 0.151
78.434 78.254 1.466 0.852 0.151
69.610 57.626 0.915 0.854 0.151
62.884 193.747 1.015 1.284 0.151
61.015 185.154 0.980 1.056 0.152
76.944 197.501 1.925 1.110 0.152
77.776 202.094 2.128 1.345 0.153
73.303 288.435 1.527 0.856 0.153
70.480 51.082 0.820 0.660 0.154
70.591 292.850 nan 1.297 0.154
61.742 188.519 0.832 0.916 0.154
74.834 214.749 2.170 0.731 0.155
74.750 120.530 1.959 0.820 0.155
58.663 194.891 0.534 1.348 0.155
78.929 195.866 2.125 1.366 0.155
74.159 289.463 1.538 1.106 0.155
69.410 296.985 1.247 0.979 0.155
77.710 25.396 1.511 1.239 0.156
75.424 186.633 1.737 1.141 0.156
73.673 64.316 1.351 1.064 0.156
80.475 179.326 2.022 1.308 0.156
67.892 193.257 1.590 1.068 0.156
71.521 299.529 1.376 1.066 0.156
78.222 178.363 1.918 1.253 0.156
81.804 86.082 1.637 1.013 0.156
73.657 289.680 1.507 0.981 0.157
65.735 301.695 0.926 0.829 0.157
76.767 172.694 1.935 1.001 0.157
62.273 177.896 nan 0.804 0.157
74.887 131.386 1.464 0.792 0.158
70.045 49.574 0.647 0.661 0.158
80.924 90.707 1.185 0.739 0.158
76.944 139.879 nan 1.016 0.158
57.854 192.024 0.638 0.960 0.158
63.779 194.216 0.968 0.910 0.159
77.088 87.510 1.339 0.805 0.159
77.551 79.095 1.499 1.161 0.159
74.063 74.887 1.380 0.827 0.159
79.011 71.565 1.448 1.257 0.159
79.351 0.603 nan 1.284 0.160
74.717 130.830 1.504 0.745 0.160
74.558 345.256 0.964 1.154 0.160
68.308 47.946 0.518 1.249 0.160
71.296 230.856 2.000 1.029 0.161
70.835 63.886 1.238 1.180 0.161
64.836 320.096 0.300 0.611 0.161
77.454 47.899 1.424 0.968 0.161
69.378 192.291 2.151 1.084 0.161
77.938 185.870 1.914 1.269 0.161
60.429 181.536 1.062 1.149 0.162
59.379 188.730 0.859 1.304 0.162
63.834 184.209 0.773 1.061 0.162
77.510 85.365 1.412 1.041 0.163
74.012 211.792 2.045 1.485 0.163
75.330 189.246 1.718 1.589 0.163
67.561 194.246 0.875 1.045 0.163
80.678 76.799 1.530 1.110 0.163
79.576 73.124 1.485 1.194 0.163
76.016 54.142 0.560 0.785 0.163
75.261 292.855 nan 0.979 0.164
74.618 180.418 1.874 1.280 0.164
64.354 190.914 1.160 0.978 0.164
69.886 240.136 nan 0.928 0.164
70.202 293.797 1.145 1.093 0.164
75.493 117.160 2.156 0.793 0.165
76.187 182.328 1.809 1.170 0.165
76.357 281.864 nan 0.635 0.165
77.266 185.560 1.849 1.267 0.165
77.302 93.545 1.106 0.836 0.165
62.120 186.289 0.829 0.912 0.165
78.330 188.286 1.961 1.020 0.166
65.028 301.319 0.803 0.197 0.166
65.917 298.846 0.751 1.081 0.166
70.504 197.808 1.211 0.899 0.166
58.587 191.878 0.671 0.820 0.166
73.864 155.754 3.040 1.075 0.166
79.389 58.829 1.663 1.277 0.167
72.308 256.405 2.116 1.046 0.167
62.782 186.918 0.676 0.845 0.167
81.432 78.690 1.624 1.090 0.167
76.257 76.304 1.506 0.989 0.167
70.104 165.256 2.255 1.062 0.167
75.951 148.722 nan 1.085 0.167
65.279 181.308 nan 1.257 0.167
70.622 51.600 0.913 0.835 0.167
69.800 241.007 nan 1.299 0.167
71.918 164.495 2.878 1.269 0.168
76.198 89.534 1.012 0.792 0.168
71.593 256.218 2.036 0.972 0.169
76.060 202.230 1.925 1.276 0.169
71.152 256.544 2.040 0.993 0.169
57.304 190.607 0.685 0.834 0.169
58.582 186.843 0.917 1.111 0.169
79.698 45.000 1.317 1.167 0.169
69.779 340.153 0.880 1.574 0.170
77.073 74.396 1.522 1.186 0.170
74.272 151.422 2.800 1.198 0.171
73.864 294.246 1.306 1.057 0.171
69.785 342.170 0.951 0.759 0.171
70.990 234.147 1.771 1.170 0.171
79.581 78.207 1.428 0.861 0.171
79.020 40.030 1.230 1.114 0.172
65.567 190.376 1.184 1.089 0.172
76.593 24.206 1.049 1.501 0.173
79.698 351.870 1.778 1.321 0.173
70.475 239.149 1.834 1.103 0.173
65.493 299.516 0.965 1.143 0.173
75.090 206.372 1.939 1.533 0.173
76.034 81.219 1.322 1.052 0.173
69.823 192.563 2.108 1.014 0.174
