################## FYI, April 2012 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
79.016 65.266 1.298 0.042 1.041 0.000
77.547 38.418 0.794 0.034 1.114 0.000
77.859 111.114 1.082 0.013 0.671 0.001
60.714 186.438 1.003 0.052 0.901 0.001
75.087 72.929 0.883 0.020 0.850 0.002
74.870 286.821 1.518 0.117 0.800 0.002
75.556 67.620 0.741 0.024 0.869 0.002
71.856 159.319 2.164 0.038 1.043 0.002
77.329 79.287 0.991 0.027 0.981 0.002
79.043 76.390 1.089 0.044 0.957 0.002
61.301 176.156 0.474 0.022 1.336 0.003
76.836 147.529 1.854 0.030 0.830 0.003
57.473 193.115 0.788 0.056 0.832 0.003
78.650 32.905 0.942 0.047 1.274 0.003
76.702 115.484 1.301 0.018 0.750 0.003
64.106 182.750 0.643 0.015 0.902 0.004
77.226 110.026 0.905 0.008 0.616 0.004
76.446 72.165 1.123 0.039 0.861 0.005
78.213 115.346 1.281 0.020 0.951 0.005
77.088 71.250 1.323 0.050 0.962 0.006
74.542 281.310 1.190 0.045 1.009 0.006
73.471 152.913 2.454 0.042 0.748 0.006
73.151 65.999 0.859 0.025 0.764 0.006
58.447 185.157 0.907 0.062 0.874 0.007
66.876 301.443 1.186 0.039 1.006 0.008
78.213 92.726 1.375 0.032 1.294 0.008
74.340 128.596 2.174 0.056 0.553 0.008
61.837 187.154 0.979 0.042 0.925 0.009
58.192 200.245 nan nan 1.059 0.009
79.071 68.962 1.432 0.052 0.895 0.009
70.011 184.844 2.870 0.074 1.282 0.009
72.421 59.664 0.809 0.026 0.661 0.009
72.552 65.251 0.855 0.026 0.757 0.010
61.911 191.853 1.108 0.056 0.780 0.010
70.920 163.915 2.318 0.050 1.188 0.010
77.010 73.443 1.108 0.041 0.913 0.010
62.280 181.637 1.144 0.039 1.004 0.011
74.934 73.996 0.854 0.018 0.809 0.011
75.220 200.913 2.384 0.047 0.944 0.011
71.842 175.384 2.550 0.046 1.355 0.011
67.651 302.648 1.207 0.058 0.633 0.011
76.806 116.783 1.266 0.019 0.886 0.012
76.420 194.840 2.415 0.050 1.157 0.013
75.694 85.050 0.881 0.021 0.736 0.013
60.389 176.711 1.192 0.028 0.721 0.013
80.286 101.310 1.234 0.021 0.798 0.013
80.683 86.553 1.207 0.034 0.886 0.014
74.690 129.644 2.253 0.056 0.517 0.014
73.654 79.308 0.596 0.013 0.514 0.014
67.283 194.657 1.006 0.035 0.991 0.014
76.480 80.929 0.916 0.022 0.847 0.015
74.988 117.140 1.878 0.040 0.961 0.015
78.583 125.407 1.468 0.028 0.942 0.015
77.381 120.440 1.279 0.021 0.912 0.016
77.851 99.028 1.660 0.044 0.584 0.016
75.969 88.625 nan nan 0.622 0.016
81.385 77.229 1.447 0.067 1.286 0.016
81.269 33.486 1.698 0.142 1.152 0.017
77.238 77.307 1.012 0.030 0.839 0.018
79.271 32.196 1.196 0.050 0.777 0.018
75.172 119.476 1.913 0.044 0.600 0.018
77.801 108.768 1.155 0.015 0.689 0.018
57.640 195.255 0.767 0.052 0.659 0.018
71.690 201.997 2.623 0.067 1.145 0.019
74.657 128.463 2.199 0.055 0.565 0.019
71.671 131.021 nan nan 0.580 0.019
60.144 183.698 0.907 0.057 0.984 0.020
75.901 146.689 1.834 0.024 0.785 0.020
78.399 34.765 0.875 0.044 1.159 0.021
73.955 76.645 0.666 0.011 0.832 0.021
78.920 115.787 1.368 0.026 0.892 0.021
74.864 130.186 2.244 0.055 0.594 0.021
78.308 114.353 1.277 0.020 0.874 0.022
59.231 165.708 0.316 0.007 0.578 0.022
75.107 283.513 1.631 0.092 0.822 0.023
79.337 86.987 1.246 0.032 1.101 0.023
81.426 72.512 1.509 0.087 0.987 0.023
73.288 74.002 nan nan 0.580 0.023
77.302 114.528 1.180 0.016 0.689 0.023
72.911 345.141 1.379 0.063 1.314 0.023
73.694 80.083 0.623 0.014 0.543 0.023
68.884 294.242 0.919 0.014 0.838 0.023
76.143 68.629 0.998 0.035 0.870 0.024
80.727 348.147 1.604 0.039 0.931 0.024
72.450 57.022 0.763 0.028 0.583 0.024
64.504 184.827 nan nan 0.850 0.024
79.480 38.946 0.923 0.047 1.052 0.024
79.654 50.274 0.792 0.030 1.092 0.024
80.587 81.098 1.350 0.052 0.899 0.025
76.089 77.421 0.989 0.028 0.845 0.025
75.563 149.647 nan nan 0.726 0.025
78.610 83.784 1.049 0.025 1.157 0.026
76.309 77.217 0.996 0.029 0.864 0.026
81.385 102.771 1.390 0.031 0.902 0.026
80.066 78.944 1.213 0.046 1.198 0.027
72.926 59.554 0.824 0.029 0.886 0.027
61.050 191.046 1.024 0.060 1.533 0.027
77.628 81.135 0.986 0.024 1.004 0.027
77.989 92.675 1.224 0.027 0.906 0.027
73.154 289.885 1.463 0.104 0.928 0.027
74.542 78.690 0.888 0.024 0.702 0.028
57.158 196.680 0.699 0.051 1.049 0.029
76.089 289.312 0.995 0.052 0.936 0.029
71.293 300.727 1.349 0.114 0.947 0.029
62.380 193.979 0.528 0.023 1.549 0.029
78.650 122.905 1.429 0.027 0.992 0.029
78.530 39.447 0.850 0.039 1.104 0.030
77.096 91.494 0.826 0.011 1.440 0.030
72.311 130.878 nan nan 0.770 0.031
73.389 78.690 0.471 0.009 0.490 0.031
72.447 61.302 0.852 0.026 0.791 0.031
62.580 186.392 0.891 0.032 0.718 0.031
60.158 183.264 0.913 0.057 0.769 0.031
80.020 102.319 1.173 0.020 0.705 0.031
74.121 126.951 2.399 0.062 0.557 0.032
78.218 73.980 1.182 0.056 0.877 0.032
80.026 89.356 1.322 0.033 1.019 0.032
74.073 125.819 2.126 0.057 0.644 0.032
73.873 117.814 nan nan 0.605 0.032
73.121 67.703 0.795 0.020 0.842 0.033
69.326 195.474 1.472 0.035 1.077 0.033
79.011 108.435 1.473 0.026 0.841 0.033
60.607 183.755 0.912 0.048 0.896 0.033
77.100 118.571 1.244 0.020 0.885 0.033
77.405 140.782 1.574 0.025 0.848 0.034
73.769 114.969 nan nan 0.715 0.034
65.716 298.589 0.714 0.015 0.589 0.034
73.657 60.792 0.949 0.037 0.799 0.034
77.310 26.792 0.883 0.057 0.863 0.035
74.614 283.935 1.669 0.096 0.711 0.035
79.480 104.184 0.987 0.018 0.727 0.035
74.844 157.805 2.255 0.045 1.294 0.035
74.558 75.256 0.781 0.015 0.750 0.036
74.588 72.621 0.783 0.015 0.762 0.036
81.700 68.629 1.761 0.096 0.961 0.036
59.396 156.188 1.004 0.083 0.512 0.037
80.624 75.466 1.361 0.069 1.461 0.037
58.540 195.690 0.720 0.037 1.417 0.037
60.889 187.374 1.023 0.052 0.992 0.037
67.410 190.637 2.500 0.081 0.958 0.038
70.936 302.471 1.306 0.100 0.948 0.038
59.448 183.616 0.886 0.072 1.077 0.038
77.405 98.707 1.241 0.027 0.738 0.038
81.408 50.290 1.225 0.080 0.812 0.038
78.010 114.887 1.248 0.018 0.880 0.039
79.722 108.435 1.452 0.030 1.026 0.039
59.560 186.199 0.935 0.073 1.339 0.040
79.571 110.772 1.432 0.030 0.951 0.040
77.776 89.474 0.986 0.017 0.883 0.040
66.634 302.386 1.180 0.058 0.754 0.040
73.468 64.654 0.881 0.027 0.784 0.040
79.361 48.417 0.830 0.037 1.096 0.041
78.451 36.314 0.855 0.041 1.140 0.041
72.528 66.898 0.808 0.022 0.667 0.041
73.766 61.484 0.936 0.034 0.841 0.042
77.313 92.534 0.923 0.015 0.965 0.042
78.069 49.574 0.837 0.043 0.962 0.042
72.085 176.042 2.511 0.043 1.204 0.042
78.460 122.300 1.400 0.026 1.023 0.042
74.162 66.161 0.873 0.025 0.799 0.043
74.717 291.098 1.533 0.142 0.861 0.043
60.043 298.213 0.982 0.052 2.085 0.043
79.461 32.845 1.253 0.054 1.337 0.044
62.059 180.696 1.160 0.040 1.061 0.044
74.707 122.407 2.057 0.052 0.745 0.044
60.342 184.600 0.918 0.054 1.098 0.044
82.135 63.800 2.122 0.084 1.060 0.044
81.069 109.799 1.486 0.039 0.957 0.044
62.742 271.664 1.430 0.048 0.569 0.044
78.338 123.232 1.406 0.025 1.029 0.044
70.917 66.003 0.838 0.024 0.470 0.044
72.458 62.942 0.880 0.028 0.584 0.044
73.257 268.847 1.744 0.084 0.811 0.045
75.790 204.744 2.377 0.054 1.278 0.045
58.222 190.909 0.910 0.074 1.142 0.045
58.700 184.781 0.910 0.072 1.020 0.045
76.829 35.991 0.756 0.026 1.041 0.045
74.019 124.695 0.487 0.013 0.768 0.045
69.917 64.440 0.679 0.020 0.899 0.045
72.555 61.949 0.869 0.027 0.663 0.045
74.998 84.417 1.126 0.038 0.833 0.045
71.546 63.591 0.854 0.026 0.927 0.045
71.901 179.644 1.729 0.028 0.972 0.046
81.706 73.523 1.496 0.079 1.065 0.046
74.618 127.288 2.266 0.057 0.596 0.046
78.495 74.745 1.147 0.053 1.379 0.046
79.489 68.085 1.508 0.069 0.870 0.046
78.222 88.363 1.071 0.021 1.258 0.046
81.286 81.870 1.372 0.051 1.090 0.046
72.864 63.939 0.878 0.027 0.701 0.047
82.535 62.281 1.609 0.079 1.256 0.047
71.438 231.394 2.328 0.044 0.968 0.048
60.644 182.432 0.978 0.051 1.000 0.048
72.225 160.419 2.287 0.044 0.924 0.048
80.349 74.511 1.314 0.068 1.259 0.049
77.863 38.246 0.809 0.037 1.041 0.049
67.538 299.781 1.255 0.034 0.853 0.049
76.136 78.326 0.969 0.027 0.912 0.049
77.726 109.759 1.077 0.012 0.730 0.049
76.027 133.047 1.841 0.033 0.665 0.050
76.737 81.733 0.926 0.021 0.920 0.050
81.592 87.709 1.057 0.022 1.182 0.050
61.707 185.277 0.907 0.037 1.202 0.050
82.887 56.560 1.451 0.096 1.168 0.050
71.665 178.243 1.635 0.027 0.966 0.050
78.583 44.204 0.849 0.042 1.242 0.050
80.781 69.362 1.709 0.102 1.125 0.050
75.206 78.179 0.973 0.028 0.813 0.051
81.562 95.332 0.934 0.018 0.960 0.051
69.241 338.025 0.932 0.075 0.532 0.052
58.995 190.324 0.996 0.068 0.807 0.052
76.836 94.399 0.769 0.010 1.165 0.052
80.969 45.000 1.357 0.084 1.079 0.053
74.079 63.616 0.925 0.029 0.885 0.053
81.211 72.951 1.486 0.089 0.953 0.053
78.820 116.822 1.366 0.026 1.124 0.053
81.356 86.285 1.151 0.030 1.098 0.054
75.648 285.884 1.470 0.099 1.190 0.054
77.772 47.974 0.819 0.037 1.007 0.054
81.132 26.241 1.928 0.170 1.140 0.054
79.309 29.521 1.319 0.041 0.951 0.055
75.641 201.552 2.383 0.050 1.101 0.055
73.876 63.970 0.892 0.027 0.835 0.055
74.585 69.981 0.825 0.019 0.712 0.055
71.331 155.442 1.564 0.021 0.768 0.056
80.406 104.199 1.323 0.027 0.943 0.056
76.529 77.005 0.999 0.029 0.985 0.056
60.838 176.216 0.680 0.026 0.794 0.056
79.639 105.690 1.391 0.027 0.993 0.057
69.343 301.178 1.256 0.066 1.055 0.057
75.158 282.670 1.480 0.073 0.991 0.057
73.067 63.605 0.879 0.027 0.753 0.057
72.357 63.925 0.872 0.027 0.648 0.057
75.973 89.542 nan nan 0.873 0.057
77.984 112.496 1.180 0.015 0.724 0.058
76.514 135.000 1.683 0.026 0.739 0.058
75.378 282.863 1.460 0.074 1.109 0.058
75.726 86.845 0.641 0.009 0.584 0.058
80.459 40.236 1.018 0.069 1.117 0.058
73.579 69.582 0.751 0.017 0.799 0.059
67.880 296.957 nan nan 1.377 0.059
79.698 67.620 1.555 0.080 0.958 0.059
67.265 332.546 0.831 0.079 0.988 0.059
72.852 65.618 0.859 0.025 0.788 0.059
80.422 83.956 1.303 0.043 1.246 0.059
66.798 300.677 1.240 0.036 0.751 0.059
78.961 80.059 1.069 0.033 1.294 0.060
70.117 57.479 1.106 0.016 0.598 0.060
74.647 124.271 1.593 0.040 0.692 0.060
77.938 110.120 1.138 0.014 0.718 0.062
71.646 64.220 0.853 0.026 0.631 0.062
76.224 200.501 2.391 0.052 1.232 0.062
79.885 80.433 1.209 0.043 1.380 0.062
77.147 147.836 1.839 0.032 1.046 0.063
62.834 185.972 0.848 0.028 0.891 0.063
72.320 67.184 0.791 0.021 0.732 0.064
78.865 106.976 1.536 0.028 0.835 0.064
81.538 83.157 1.280 0.042 1.114 0.064
79.811 29.667 1.800 0.047 0.868 0.064
71.152 161.565 2.290 0.044 1.177 0.064
79.528 47.603 0.826 0.035 1.151 0.065
63.759 196.250 nan nan 1.123 0.065
62.411 191.586 1.161 0.056 1.048 0.065
75.059 120.225 1.984 0.047 0.704 0.065
76.646 35.426 0.779 0.024 0.981 0.065
64.354 181.766 0.741 0.022 0.876 0.066
73.735 76.827 0.525 0.009 0.730 0.066
76.081 73.610 1.023 0.030 0.767 0.066
75.490 75.211 0.937 0.024 0.784 0.066
74.519 124.958 1.243 0.032 0.656 0.066
75.210 122.605 1.907 0.046 0.673 0.066
74.272 61.422 1.088 0.038 1.035 0.066
73.946 70.805 0.679 0.013 0.813 0.067
75.897 295.953 1.593 0.087 1.214 0.067
63.757 189.665 1.554 0.057 0.676 0.067
80.147 70.741 1.556 0.089 1.237 0.067
66.318 302.555 1.180 0.069 0.557 0.067
76.034 81.219 0.888 0.021 0.919 0.068
76.361 74.249 1.021 0.031 0.826 0.068
62.734 182.139 1.051 0.036 1.155 0.068
78.579 58.650 0.886 0.039 1.030 0.069
75.937 85.882 0.754 0.012 0.785 0.069
71.856 196.189 2.336 0.052 1.347 0.069
62.350 186.340 0.910 0.034 0.912 0.070
77.997 91.606 1.146 0.024 0.898 0.070
59.396 193.058 0.565 0.028 1.165 0.070
72.068 302.196 1.497 0.116 0.646 0.071
71.079 160.919 2.271 0.042 0.934 0.071
79.571 69.228 1.521 0.073 0.932 0.072
81.640 54.819 1.280 0.070 0.670 0.072
62.145 185.826 0.902 0.035 1.171 0.073
58.680 185.194 0.886 0.075 0.838 0.073
75.947 71.854 1.069 0.034 0.715 0.073
74.204 125.159 1.001 0.026 0.652 0.073
79.935 108.838 1.463 0.033 0.949 0.073
74.437 286.343 1.557 0.113 0.882 0.073
75.053 67.479 0.868 0.024 0.808 0.073
67.140 299.219 1.461 0.037 1.115 0.074
79.970 39.560 0.954 0.053 0.952 0.074
72.011 160.659 2.286 0.045 0.959 0.074
74.178 62.526 1.002 0.032 0.819 0.074
69.678 303.250 1.248 0.095 1.277 0.074
77.714 84.237 0.930 0.017 0.880 0.075
74.985 115.224 nan nan 0.830 0.075
80.199 67.834 1.704 0.098 1.010 0.075
63.894 181.736 0.890 0.030 1.040 0.075
78.811 114.254 1.343 0.025 0.985 0.075
60.437 179.341 1.306 0.044 1.133 0.075
73.864 114.246 nan nan 0.788 0.075
71.915 59.769 0.770 0.020 0.595 0.076
79.528 84.472 1.216 0.035 1.146 0.077
76.331 144.353 1.731 0.022 0.905 0.077
77.896 113.477 1.202 0.016 0.693 0.077
60.158 176.736 1.396 0.029 0.920 0.077
71.408 59.868 0.693 0.016 0.578 0.077
81.853 71.565 1.563 0.085 1.230 0.078
75.641 121.578 1.653 0.037 0.683 0.078
71.127 302.838 1.358 0.103 0.885 0.078
75.883 216.597 2.482 0.064 1.222 0.078
63.522 186.124 0.701 0.018 1.224 0.078
77.628 98.865 1.472 0.036 1.079 0.079
57.961 188.762 0.884 0.088 0.822 0.079
74.447 77.067 0.805 0.018 0.701 0.079
75.431 285.642 1.522 0.106 1.154 0.079
73.791 226.685 2.519 0.055 1.126 0.079
72.528 293.102 1.410 0.123 1.119 0.079
