################## FYI, April 2012 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
69.558 184.737 3.049 0.080 1.369 0.080
67.226 299.991 1.288 0.035 1.006 0.080
62.392 279.192 1.679 0.068 0.889 0.080
65.793 190.472 1.660 0.064 0.894 0.081
77.955 125.910 1.428 0.025 0.953 0.082
80.629 63.741 0.759 0.040 0.816 0.082
76.162 288.435 1.068 0.058 1.071 0.082
69.505 295.017 1.078 0.024 0.796 0.082
68.789 294.796 0.984 0.017 0.989 0.082
67.978 297.745 nan nan 1.064 0.083
76.702 117.646 1.302 0.021 0.871 0.083
69.054 193.364 1.568 0.042 0.974 0.083
77.135 137.827 1.572 0.024 1.005 0.083
71.949 64.552 0.852 0.026 0.668 0.083
77.776 112.094 1.059 0.013 0.696 0.083
69.106 195.309 1.236 0.031 0.944 0.083
79.149 56.802 0.928 0.048 0.980 0.083
72.864 290.336 1.448 0.099 0.899 0.084
82.349 72.096 1.513 0.073 1.221 0.084
72.406 157.859 2.262 0.039 1.006 0.084
76.589 70.959 1.277 0.046 0.974 0.084
74.044 67.225 0.832 0.022 0.732 0.084
73.854 119.597 nan nan 0.796 0.084
59.725 181.931 1.012 0.065 0.848 0.085
75.673 130.553 1.995 0.043 0.924 0.086
77.649 122.391 1.330 0.023 0.922 0.086
73.121 59.167 0.847 0.034 0.712 0.086
79.280 68.532 1.464 0.059 0.866 0.086
76.298 286.654 1.300 0.074 1.323 0.086
70.535 180.993 2.033 0.054 1.546 0.086
71.541 152.030 nan nan 0.783 0.086
62.199 188.658 1.000 0.038 0.766 0.086
74.401 260.470 1.582 0.061 1.069 0.087
79.219 44.157 0.855 0.041 0.747 0.087
73.785 74.327 nan nan 0.829 0.087
78.672 88.299 1.181 0.027 0.951 0.087
67.159 297.956 nan nan 0.463 0.088
74.233 71.307 0.746 0.014 0.737 0.088
75.206 281.821 1.242 0.050 1.085 0.088
69.121 184.020 3.269 0.088 1.790 0.088
57.763 190.756 0.899 0.071 0.909 0.089
74.073 118.191 1.156 0.031 0.880 0.089
63.904 180.744 1.153 0.047 1.124 0.089
77.955 35.910 0.810 0.040 0.947 0.089
76.983 137.095 1.559 0.023 0.906 0.089
77.088 108.750 0.837 0.007 0.663 0.089
71.250 302.260 1.382 0.107 0.954 0.089
71.340 152.354 nan nan 0.793 0.089
80.996 73.369 1.464 0.089 1.173 0.089
72.572 57.642 0.805 0.030 0.635 0.090
65.174 302.751 0.886 0.072 0.640 0.090
70.864 238.459 1.585 0.047 1.331 0.090
76.672 134.318 1.665 0.027 0.841 0.090
76.353 134.334 1.734 0.028 0.724 0.090
81.081 32.692 1.885 0.142 1.028 0.090
72.616 67.580 0.785 0.020 0.783 0.090
61.361 192.553 1.067 0.056 1.545 0.091
80.010 86.785 1.332 0.038 1.210 0.091
78.086 71.906 1.293 0.056 0.926 0.091
74.003 74.110 0.647 0.009 0.612 0.091
78.847 39.289 0.864 0.039 1.097 0.091
78.570 111.280 1.277 0.020 0.751 0.091
70.238 184.899 2.922 0.070 1.218 0.091
78.797 108.072 1.457 0.025 0.850 0.091
77.510 85.365 0.895 0.015 1.032 0.091
78.988 112.126 1.364 0.025 0.732 0.091
76.187 87.672 0.692 0.007 0.795 0.092
76.798 77.735 0.993 0.028 1.017 0.092
74.874 70.489 0.865 0.020 0.868 0.092
68.755 300.235 1.258 0.051 1.043 0.092
74.717 74.228 0.807 0.016 0.751 0.093
78.026 123.541 1.384 0.024 0.964 0.093
76.817 137.759 1.349 0.020 0.849 0.093
79.615 29.055 1.825 0.041 0.879 0.093
59.453 190.476 1.049 0.067 0.810 0.093
77.551 79.095 1.008 0.028 0.966 0.093
62.211 193.414 0.608 0.031 1.505 0.094
76.435 200.833 2.396 0.055 1.175 0.094
77.458 35.538 0.762 0.034 1.171 0.094
82.429 82.349 1.253 0.036 1.091 0.094
72.456 64.584 0.867 0.027 0.739 0.094
73.236 59.826 0.883 0.034 0.697 0.094
76.649 41.594 0.796 0.021 0.736 0.095
58.582 186.843 0.851 0.080 0.892 0.095
78.386 30.774 0.949 0.049 0.978 0.095
82.065 71.053 1.573 0.082 1.121 0.095
72.995 158.691 2.276 0.044 1.131 0.095
62.066 187.211 0.985 0.040 0.873 0.095
61.454 185.688 0.949 0.041 0.982 0.096
75.876 135.000 1.801 0.031 0.701 0.096
77.405 50.782 0.763 0.030 0.920 0.096
77.393 113.600 1.152 0.015 0.731 0.096
78.988 38.387 0.879 0.040 1.190 0.097
61.829 180.230 0.887 0.032 1.301 0.097
81.761 82.972 1.259 0.040 1.096 0.097
58.402 185.977 0.799 0.072 0.767 0.097
75.254 120.665 1.882 0.044 0.743 0.097
78.103 113.908 1.238 0.018 0.921 0.097
76.361 285.751 1.470 0.085 0.712 0.097
78.451 89.444 1.199 0.026 0.966 0.098
74.654 73.421 0.794 0.016 0.669 0.098
79.751 103.276 1.075 0.019 0.835 0.098
74.382 63.988 1.027 0.033 0.897 0.098
77.077 93.483 0.865 0.012 1.004 0.098
73.870 70.051 0.652 0.014 0.930 0.098
78.499 119.814 1.368 0.025 1.026 0.098
82.009 95.631 1.342 0.028 1.004 0.098
61.607 187.097 0.991 0.044 0.855 0.098
75.090 116.372 1.779 0.035 0.983 0.098
70.749 189.077 2.429 0.058 1.472 0.098
69.924 57.824 1.213 0.019 0.602 0.098
62.292 179.766 nan nan 1.477 0.099
66.510 302.851 1.190 0.076 0.858 0.100
74.121 284.331 1.634 0.092 0.933 0.100
78.811 24.254 0.832 0.050 0.917 0.100
80.365 81.304 1.300 0.048 1.105 0.101
77.096 114.114 1.133 0.014 0.766 0.101
72.941 234.111 2.204 0.036 0.897 0.101
74.146 124.028 0.947 0.025 0.905 0.101
80.781 110.638 1.493 0.039 1.288 0.102
80.523 114.444 1.522 0.041 1.065 0.102
71.370 301.675 1.365 0.109 0.913 0.102
70.562 304.150 1.583 0.131 1.009 0.102
70.433 161.565 2.233 0.045 1.868 0.102
74.496 77.876 0.835 0.020 0.854 0.102
59.252 182.324 0.951 0.064 0.859 0.102
78.256 42.678 0.845 0.040 0.854 0.102
71.743 64.855 0.841 0.025 0.698 0.103
71.203 177.600 1.972 0.037 0.986 0.103
79.523 27.387 0.900 0.023 1.479 0.103
80.142 40.389 0.955 0.055 1.075 0.103
75.800 289.867 1.066 0.065 1.186 0.103
71.901 292.264 1.443 0.084 0.893 0.104
80.328 79.992 1.295 0.050 1.098 0.104
76.661 71.870 1.186 0.044 1.114 0.104
73.034 67.001 0.821 0.022 0.708 0.104
77.764 87.374 0.945 0.016 1.196 0.104
72.022 66.801 0.793 0.021 0.859 0.104
73.826 276.780 nan nan 1.214 0.105
67.978 189.125 2.938 0.088 1.372 0.105
77.206 115.442 1.228 0.017 0.825 0.105
80.406 67.329 1.801 0.101 1.184 0.105
70.501 293.459 1.181 0.037 1.022 0.105
74.777 75.041 0.826 0.018 0.772 0.105
72.028 60.388 0.817 0.023 0.651 0.106
77.689 113.062 1.174 0.015 0.766 0.106
74.340 284.534 1.656 0.098 0.938 0.106
61.891 186.238 0.946 0.039 0.789 0.106
58.766 190.249 0.979 0.071 1.179 0.107
73.508 58.367 nan nan 0.881 0.107
58.985 187.775 0.973 0.082 1.418 0.107
72.616 157.580 2.269 0.040 1.177 0.107
65.481 191.413 1.733 0.064 1.268 0.107
58.680 191.066 0.943 0.067 0.836 0.108
60.763 174.444 0.590 0.025 0.674 0.109
74.847 260.189 1.724 0.069 1.236 0.109
78.115 116.323 1.282 0.020 0.889 0.109
78.892 42.546 0.860 0.040 0.871 0.109
71.430 177.571 2.045 0.037 1.132 0.109
76.570 120.635 1.325 0.024 1.012 0.109
77.506 78.085 1.018 0.031 0.814 0.110
73.666 127.737 nan nan 1.208 0.110
77.191 142.829 1.603 0.025 1.150 0.110
78.513 108.789 1.348 0.022 0.929 0.110
77.801 119.157 1.295 0.021 0.869 0.110
78.650 57.095 0.888 0.044 1.447 0.110
76.638 92.406 0.645 0.007 1.070 0.110
74.934 127.126 2.147 0.054 0.651 0.110
71.236 64.817 0.835 0.024 0.934 0.110
76.401 79.061 0.955 0.026 1.115 0.110
73.004 58.517 nan nan 0.851 0.111
79.693 43.238 0.850 0.037 1.008 0.111
60.439 179.780 1.267 0.050 0.813 0.112
78.014 109.113 1.189 0.016 0.691 0.112
65.578 300.237 1.115 0.034 0.776 0.112
64.437 189.920 1.716 0.066 0.899 0.112
75.694 295.560 1.491 0.094 0.884 0.112
61.135 190.164 1.029 0.057 1.129 0.112
74.834 75.861 0.852 0.020 0.711 0.112
64.200 196.531 nan nan 0.708 0.112
62.494 272.592 1.384 0.050 0.584 0.113
70.749 170.923 2.304 0.051 1.716 0.113
79.112 87.049 1.219 0.030 1.079 0.113
74.667 66.251 0.900 0.026 0.992 0.114
80.443 85.292 1.264 0.039 1.093 0.114
79.252 82.208 1.129 0.033 1.362 0.114
78.663 357.166 2.000 0.101 0.752 0.114
74.684 115.626 nan nan 0.753 0.114
74.178 117.474 1.256 0.031 0.768 0.114
76.702 80.776 0.934 0.022 0.954 0.114
73.370 63.954 0.884 0.027 0.728 0.114
81.984 74.604 1.488 0.072 1.081 0.114
76.191 133.683 1.770 0.030 0.943 0.115
81.058 37.875 1.235 0.108 1.055 0.115
69.498 193.655 1.529 0.039 1.449 0.115
72.944 66.306 0.844 0.024 0.780 0.115
79.860 110.037 1.464 0.033 0.900 0.115
74.787 63.246 1.240 0.041 0.942 0.116
71.138 297.329 1.379 0.104 0.989 0.116
78.526 33.845 0.907 0.046 1.062 0.116
67.773 302.159 1.199 0.051 0.849 0.116
57.701 194.867 0.778 0.054 0.792 0.116
75.327 76.283 0.934 0.025 0.783 0.116
80.619 82.451 1.352 0.050 1.050 0.116
81.132 116.241 1.573 0.045 1.041 0.116
75.962 272.291 nan nan 1.054 0.117
77.405 81.293 0.972 0.023 1.340 0.117
77.006 117.229 1.228 0.018 0.914 0.117
78.399 113.344 1.267 0.020 0.775 0.117
77.286 78.294 1.002 0.029 1.029 0.117
81.871 78.071 1.418 0.059 1.114 0.118
68.976 293.682 nan nan 0.811 0.118
61.829 179.770 0.775 0.027 1.088 0.118
57.926 194.971 0.770 0.053 0.832 0.118
59.680 183.643 0.893 0.065 1.121 0.118
82.651 97.883 1.406 0.036 1.138 0.119
75.648 83.264 1.016 0.029 0.841 0.120
71.318 303.212 1.470 0.110 0.860 0.120
77.325 90.507 0.877 0.012 0.655 0.120
79.122 63.699 1.266 0.050 1.039 0.120
72.256 63.273 0.877 0.028 0.694 0.121
79.025 124.177 1.486 0.030 1.139 0.121
81.915 100.376 1.403 0.033 1.114 0.121
79.796 38.758 0.961 0.053 1.196 0.121
79.375 43.290 0.856 0.039 1.065 0.121
67.561 298.496 1.320 0.035 1.179 0.121
77.214 146.449 1.787 0.030 0.942 0.122
76.991 135.699 1.599 0.024 0.827 0.122
61.377 187.041 1.004 0.046 1.145 0.122
77.547 88.452 0.926 0.014 1.069 0.122
69.993 303.064 1.232 0.090 0.851 0.122
78.632 36.983 0.868 0.041 1.147 0.122
76.162 71.565 1.134 0.039 0.941 0.122
59.802 189.286 1.064 0.067 1.304 0.122
70.936 170.149 2.582 0.058 1.139 0.123
77.191 37.171 0.757 0.030 1.162 0.123
61.775 188.065 0.987 0.043 1.134 0.123
73.224 286.736 1.470 0.081 0.830 0.123
61.775 190.859 1.033 0.051 1.161 0.124
81.024 24.326 2.000 0.178 1.018 0.124
58.270 194.285 0.764 0.049 0.820 0.124
78.192 30.217 0.928 0.050 1.029 0.124
74.301 127.444 2.339 0.060 0.659 0.124
78.517 27.316 0.988 0.045 1.005 0.124
73.682 76.059 nan nan 0.589 0.124
82.651 82.117 1.263 0.035 1.061 0.124
76.944 72.499 1.173 0.045 0.740 0.125
77.901 34.426 0.815 0.042 0.908 0.125
77.947 77.645 1.048 0.035 0.861 0.125
76.695 75.847 1.010 0.030 1.003 0.126
62.723 187.861 1.117 0.035 0.939 0.126
77.506 24.955 1.077 0.085 0.876 0.126
76.279 129.026 1.689 0.034 0.871 0.126
62.965 182.157 1.038 0.034 0.967 0.126
70.813 303.038 1.311 0.100 1.220 0.127
73.303 161.565 2.352 0.049 1.283 0.127
